	voice Midi Diff								present		 Best		Sec

printNotes: i= 130-<2070 2079  -9>,  	Bb2 -- 1/32nd..( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(71)
printNotes: i= 131-<1990 1992  -2>,  	 A2 -- 1/64th..( 16) <      > 	V 17 - M 18	= -1  %-6  	q= +1  %+6  	 0.093(71)
printNotes: i= 132-<2052 2079 -27>,  	Bb2 --  1/64th.( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(71)
printNotes: i= 133-<1652 1799 -147>,  	 G2 --   1/8th.(109) <      > 	V104 - M109	= -5  %-5  	q= -5  %-5  	 0.598(71)


silence
printNotes: i= 134-<   0   40 -40>,  	Slc -- 1/16th..( 64) <      > 	V 66 - M 80	=-14  %-21  	q= +2  %+3  	 0.377(71)<-----%21   %3

printNotes: i= 135-<1227 1118 109>,  	 C2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(71)
printNotes: i= 136-<1914 1992 -78>,  	 A2 --  1/16th.( 55) <      > 	V 52 - M 55	= -3  %-6  	q= -3  %-6  	 0.296(71)
printNotes: i= 137-<1819 1799  20>,  	 G2 --   1/8th.(109) <      > 	V106 - M109	= -3  %-3  	q= -3  %-3  	 0.610(71)
printNotes: i= 138-<2044 2079 -35>,  	Bb2 --  1/32nd.( 27) <      > 	V 29 - M 27	= +2  %+7  	q= +2  %+7  	 0.163(71)
printNotes: i= 139-<1989 1992  -3>,  	 A2 -- 1/32nd..( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(71)
printNotes: i= 140-<2043 2079 -36>,  	Bb2 --  1/64th.( 14) <      > 	V 13 - M 14	= -1  %-8  	q= -1  %-8  	 0.070(71)
printNotes: i= 141-<1836 1799  37>,  	 G2 --   1/16th( 36) <      > 	V 41 - M 36	= +5  %+12  	q= +5  %+12  	 0.232(71)
printNotes: i= 142-<1953 1992 -39>,  	 A2 --  1/64th.( 14) <      > 	V 10 - M 14	= -4  %-40  	q= -4  %-40  	 0.052(71)
printNotes: i= 143-<1734 1699  35>,  	F#2 --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(71)


silence
printNotes: i= 144-<   0   40 -40>,  	Slc --   1/4th.(218) <      > 	V207 - M225	=-18  %-9  	q=-11  %-5  	 1.196(71)<-----%9   %5

printNotes: i= 145-<1671 1499 172>,  	 E2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(71)
printNotes: i= 146-<2024 2079 -55>,  	Bb2 --  1/16th.( 55) <      > 	V 58 - M 55	= +3  %+5  	q= +3  %+5  	 0.331(71)
printNotes: i= 147-<2007 1992  15>,  	 A2 --   1/16th( 36) <      > 	V 43 - M 36	= +7  %+16  	q= +7  %+16  	 0.244(71)
printNotes: i= 148-<2077 2079  -2>,  	Bb2 --  1/16th.( 55) <      > 	V 59 - M 64	= -5  %-8  	q= +4  %+7  	 0.337(71)
printNotes: i= 149-<2007 1992  15>,  	 A2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(71)
printNotes: i= 150-<1745 2079 -334>,  	Bb2 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(71)
printNotes: i= 151-<1771 1799 -28>,  	 G2 --   1/16th( 36) <      > 	V 35 - M 36	= -1  %-3  	q= -1  %-3  	 0.197(71)
printNotes: i= 152-<2005 1992  13>,  	 A2 --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(71)
printNotes: i= 153-<1812 1799  13>,  	 G2 --  128th..(  8) <      > 	V  8 - M  7	= +1  %+12  	q=  +  %+0  	 0.041(71)


silence
printNotes: i= 154-<   0   40 -40>,  	Slc --    1/4th(145) <      > 	V150 - M145	= +5  %+3  	q= +5  %+3  	 0.865(71)
printNotes: i= 155-<1500 1318 182>,  	 D2 --  1/64th.( 14) <      > 	V 11 - M 14	= -3  %-27  	q= -3  %-27  	 0.058(71)
printNotes: i= 156-<1958 1992 -34>,  	 A2 -- 1/16th..( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(71)
printNotes: i= 157-<2055 2079 -24>,  	Bb2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(71)
printNotes: i= 158-<2058 2079 -21>,  	Bb2 -- 1/64th..( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(71)<-- same note
printNotes: i= 159-<1995 1992   3>,  	 A2 --  1/32nd.( 27) <      > 	V 24 - M 27	= -3  %-12  	q= -3  %-12  	 0.134(71)
printNotes: i= 160-<2087 2079   8>,  	Bb2 --   1/32nd( 18) <      > 	V 22 - M 18	= +4  %+18  	q= +4  %+18  	 0.122(71)
printNotes: i= 161-<1803 1799   4>,  	 G2 --   1/16th( 36) <      > 	V 37 - M 36	= +1  %+3  	q= +1  %+3  	 0.209(71)
printNotes: i= 162-<2046 2079 -33>,  	Bb2 --  1/64th.( 14) <      > 	V 13 - M 14	= -1  %-8  	q= -1  %-8  	 0.070(71)
printNotes: i= 163-<1974 1992 -18>,  	 A2 --  1/32nd.( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(71)
printNotes: i= 164-<2078 2079  -1>,  	Bb2 --  1/32nd.( 27) <      > 	V 23 - M 27	= -4  %-17  	q= -4  %-17  	 0.128(71)
printNotes: i= 165-<1997 1992   5>,  	 A2 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(71)
printNotes: i= 166-<2304 2307  -3>,  	 C3 --    1/4th(145) <      > 	V150 - M145	= +5  %+3  	q= +5  %+3  	 0.865(71)
printNotes: i= 167-<2517 2507  10>,  	 D3 -- 1/64th..( 16) <      > 	V 17 - M 18	= -1  %-6  	q= +1  %+6  	 0.093(71)
printNotes: i= 168-<2046 2307 -261>,  	 C3 --  1/16th.( 55) <      > 	V 58 - M 55	= +3  %+5  	q= +3  %+5  	 0.331(71)
printNotes: i= 169-<2093 2079  14>,  	Bb2 --   1/16th( 36) <      > 	V 38 - M 36	= +2  %+5  	q= +2  %+5  	 0.215(71)
printNotes: i= 170-<2236 2307 -71>,  	 C3 --  1/64th.( 14) <      > 	V 10 - M 14	= -4  %-40  	q= -4  %-40  	 0.052(71)
printNotes: i= 171-<2005 1992  13>,  	 A2 --  1/16th.( 55) <      > 	V 47 - M 55	= -8  %-17  	q= -8  %-17  	 0.267(71)
printNotes: i= 172-<2135 2179 -44>,  	 B2 --  1/64th.( 14) <      > 	V 12 - M 14	= -2  %-17  	q= -2  %-17  	 0.064(71)
printNotes: i= 173-<1828 1799  29>,  	 G2 --    1/8th( 73) <      > 	V 80 - M 73	= +7  %+9  	q= +7  %+9  	 0.459(71)
printNotes: i= 174-<1974 1992 -18>,  	 A2 --   1/16th( 36) <      > 	V 42 - M 36	= +6  %+14  	q= +6  %+14  	 0.238(71)
printNotes: i= 175-<2052 2079 -27>,  	Bb2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(71)
printNotes: i= 176-<2006 1992  14>,  	 A2 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(71)
printNotes: i= 177-<2056 2079 -23>,  	Bb2 -- 1/64th..( 16) <      > 	V 17 - M 18	= -1  %-6  	q= +1  %+6  	 0.093(71)
