	voice Midi Diff								present		 Best		Sec

printNotes: i= 70-<1982 1975   7>,  	Ak2 --  1/32nd.( 19) <      > 	V 19 - M 19	=  +  %+0  	q=  +  %+0  	 0.104(100)
printNotes: i= 71-<1972 1975  -3>,  	Ak2 --  1/4th..(181) <      > 	V174 - M181	= -7  %-4  	q= -7  %-4  	 1.004(100)<-- same note
printNotes: i= 72-<1021 2036 -1015>,  	 A2 --  1/32nd.( 19) <      > 	V 16 - M 19	= -3  %-19  	q= -3  %-19  	 0.087(100)
printNotes: i= 73-<1852 1975 -123>,  	Ak2 --   1/16th( 26) <      > 	V 32 - M 26	= +6  %+19  	q= +6  %+19  	 0.180(100)
printNotes: i= 74-<2028 2036  -8>,  	 A2 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(100)


silence
printNotes: i= 75-<   0   40 -40>,  	Slc --     half(206) <2*sela> 	V244 - M211	=+33  %+14  	q=+38  %+16  	 1.411(100)
printNotes: i= 76-<1627 1419 208>,  	Eb2 --   1/16th( 26) <      > 	V 30 - M 26	= +4  %+13  	q= +4  %+13  	 0.168(100)
printNotes: i= 77-<2215 2334 -119>,  	 C3 --    half.(309) <-2*sela> 	V281 - M309	=-28  %-10  	q=-28  %-10  	 1.625(100)
printNotes: i= 78-<2114 2119  -5>,  	Bb2 --  1/32nd.( 19) <      > 	V 17 - M 19	= -2  %-12  	q= -2  %-12  	 0.093(100)
printNotes: i= 79-<2401 2484 -83>,  	Dk3 --   1/64th(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(100)
printNotes: i= 80-<2346 2334  12>,  	 C3 -- 1/16th..( 45) <      > 	V 46 - M 45	= +1  %+2  	q= +1  %+2  	 0.261(100)
printNotes: i= 81-<1818 2543 -725>,  	 D3 -- 1/16th..( 45) <      > 	V 42 - M 39	= +3  %+7  	q= -3  %-7  	 0.238(100)
printNotes: i= 82-<1559 2334 -775>,  	 C3 -- 1/16th..( 45) <      > 	V 45 - M 45	=  +  %+0  	q=  +  %+0  	 0.255(100)
printNotes: i= 83-<2500 2543 -43>,  	 D3 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(100)
printNotes: i= 84-<2099 2036  63>,  	 A2 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(100)
printNotes: i= 85-<2134 2119  15>,  	Bb2 --   1/8th.( 77) <      > 	V 65 - M 52	=+13  %+20  	q=-12  %-18  	 0.372(100)
printNotes: i= 86-<2383 2543 -160>,  	 D3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(100)
printNotes: i= 87-<2001 1975  26>,  	Ak2 --    1/8th( 52) <      > 	V 53 - M 52	= +1  %+2  	q= +1  %+2  	 0.302(100)
printNotes: i= 88-<1870 1845  25>,  	 G2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(100)
printNotes: i= 89-<2017 2036 -19>,  	 A2 --  1/32nd.( 19) <      > 	V 16 - M 19	= -3  %-19  	q= -3  %-19  	 0.087(100)
printNotes: i= 90-<1976 1975   1>,  	Ak2 --    1/4th(103) <1*sela> 	V125 - M103	=+22  %+18  	q=+22  %+18  	 0.720(100)
printNotes: i= 91-<2033 2036  -3>,  	 A2 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(100)
printNotes: i= 92-< 784 2119 -1335>,  	Bb2 -- 1/64th..( 11) <      > 	V 11 - M 10	= +1  %+9  	q=  +  %+0  	 0.058(100)
printNotes: i= 93-<1853 1975 -122>,  	Ak2 --   1/16th( 26) <      > 	V 32 - M 26	= +6  %+19  	q= +6  %+19  	 0.180(100)
printNotes: i= 94-< 540 2036 -1496>,  	 A2 --   1/32nd( 13) <      > 	V 15 - M 13	= +2  %+13  	q= +2  %+13  	 0.081(100)
printNotes: i= 95-<1728 1975 -247>,  	Ak2 --   1/16th( 26) <      > 	V 32 - M 26	= +6  %+19  	q= +6  %+19  	 0.180(100)
printNotes: i= 96-<2015 2036 -21>,  	 A2 --    128th(  3) <      > 	V  4 - M  3	= +1  %+25  	q= +1  %+25  	 0.017(100)


silence
printNotes: i= 97-<   0   40 -40>,  	Slc --   1/16th( 26) <      > 	V 32 - M 32	=  +  %+0  	q= +6  %+19  	 0.180(100)
printNotes: i= 98-<1713 1619  94>,  	 F2 --  1/64th.( 10) <      > 	V  7 - M  6	= +1  %+14  	q= -3  %-43  	 0.035(100)
printNotes: i= 99-<1954 1975 -21>,  	Ak2 -- 1/16th..( 45) <      > 	V 43 - M 45	= -2  %-5  	q= -2  %-5  	 0.244(100)
printNotes: i= 100-<2102 2119 -17>,  	Bb2 -- 1/32nd..( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(100)
printNotes: i= 101-<1983 1975   8>,  	Ak2 -- 1/32nd..( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(100)
printNotes: i= 102-<2124 2119   5>,  	Bb2 --   1/16th( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(100)
printNotes: i= 103-<2341 2334   7>,  	 C3 --   1/32nd( 13) <      > 	V 15 - M 13	= +2  %+13  	q= +2  %+13  	 0.081(100)
printNotes: i= 104-<2011 1975  36>,  	Ak2 --    1/8th( 52) <      > 	V 49 - M 52	= -3  %-6  	q= -3  %-6  	 0.279(100)
printNotes: i= 105-<2129 2119  10>,  	Bb2 -- 1/32nd..( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(100)
printNotes: i= 106-<1970 1975  -5>,  	Ak2 --  1/16th.( 39) <      > 	V 33 - M 39	= -6  %-18  	q= -6  %-18  	 0.186(100)
printNotes: i= 107-<2114 2119  -5>,  	Bb2 --    half.(309) <      > 	V313 - M309	= +4  %+1  	q= +4  %+1  	 1.811(100)
printNotes: i= 108-<2057 2036  21>,  	 A2 --   1/16th( 26) <      > 	V 28 - M 26	= +2  %+7  	q= +2  %+7  	 0.157(100)
printNotes: i= 109-< 104 1845 -1741>,  	 G2 --  1/32nd.( 19) <      > 	V 19 - M 19	=  +  %+0  	q=  +  %+0  	 0.104(100)
printNotes: i= 110-<2013 2036 -23>,  	 A2 --   1/64th(  6) <      > 	V  8 - M 10	= -2  %-25  	q= +2  %+25  	 0.041(100)
printNotes: i= 111-<1972 1975  -3>,  	Ak2 --  1/32nd.( 19) <      > 	V 19 - M 19	=  +  %+0  	q=  +  %+0  	 0.104(100)
printNotes: i= 112-<2124 2119   5>,  	Bb2 --  1/32nd.( 19) <      > 	V 16 - M 13	= +3  %+19  	q= -3  %-19  	 0.087(100)
printNotes: i= 113-<1835 1845 -10>,  	 G2 --    1/8th( 52) <      > 	V 62 - M 52	=+10  %+16  	q=+10  %+16  	 0.354(100)
printNotes: i= 114-<1953 1975 -22>,  	Ak2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(100)
printNotes: i= 115-<1837 1845  -8>,  	 G2 --  1/16th.( 39) <      > 	V 35 - M 39	= -4  %-11  	q= -4  %-11  	 0.197(100)
printNotes: i= 116-<1973 1975  -2>,  	Ak2 --    1/8th( 52) <      > 	V 49 - M 52	= -3  %-6  	q= -3  %-6  	 0.279(100)
printNotes: i= 117-<2199 2219 -20>,  	 B2 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(100)
printNotes: i= 118-<1972 1975  -3>,  	Ak2 --  1/16th.( 39) <      > 	V 35 - M 39	= -4  %-11  	q= -4  %-11  	 0.197(100)
printNotes: i= 119-<2077 2119 -42>,  	Bb2 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(100)


silence
printNotes: i= 120-<   0   40 -40>,  	Slc --   1/8th.( 77) <      > 	V 72 - M 82	=-10  %-14  	q= -5  %-7  	 0.412(100)<-----%14   %7

printNotes: i= 121-<1894 1975 -81>,  	Ak2 --  1/16th.( 39) <      > 	V 41 - M 39	= +2  %+5  	q= +2  %+5  	 0.232(100)
printNotes: i= 122-<2094 2119 -25>,  	Bb2 -- 1/32nd..( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(100)
printNotes: i= 123-<1981 1975   6>,  	Ak2 -- 1/32nd..( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(100)
printNotes: i= 124-<2116 2119  -3>,  	Bb2 --   1/4th.(155) <      > 	V160 - M155	= +5  %+3  	q= +5  %+3  	 0.923(100)
printNotes: i= 125-<1026 1845 -819>,  	 G2 --  1/32nd.( 19) <      > 	V 18 - M 19	= -1  %-6  	q= -1  %-6  	 0.099(100)
printNotes: i= 126-<1280 2119 -839>,  	Bb2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(100)
printNotes: i= 127-<1963 1975 -12>,  	Ak2 --   1/16th( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(100)
printNotes: i= 128-<1820 1845 -25>,  	 G2 --   1/16th( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(100)
printNotes: i= 129-<1958 1975 -17>,  	Ak2 --  1/16th.( 39) <      > 	V 39 - M 39	=  +  %+0  	q=  +  %+0  	 0.221(100)
printNotes: i= 130-<1841 1845  -4>,  	 G2 --  1/32nd.( 19) <      > 	V 18 - M 19	= -1  %-6  	q= -1  %-6  	 0.099(100)
printNotes: i= 131-<1959 1975 -16>,  	Ak2 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(100)
printNotes: i= 132-<1825 1845 -20>,  	 G2 --    1/4th(103) <      > 	V100 - M103	= -3  %-3  	q= -3  %-3  	 0.575(100)
printNotes: i= 133-<1950 1975 -25>,  	Ak2 --    1/4th(103) <      > 	V104 - M103	= +1  %+1  	q= +1  %+1  	 0.598(100)
printNotes: i= 134-<2124 2119   5>,  	Bb2 --  1/8th..( 90) <      > 	V 92 - M 90	= +2  %+2  	q= +2  %+2  	 0.528(100)
printNotes: i= 135-<2338 2334   4>,  	 C3 --  1/8th..( 90) <      > 	V 91 - M 90	= +1  %+1  	q= +1  %+1  	 0.522(100)
printNotes: i= 136-<2633 2680 -47>,  	Ek3 -- 1/64th..( 11) <      > 	V 12 - M 10	= +2  %+17  	q= +1  %+8  	 0.064(100)
printNotes: i= 137-<2512 2543 -31>,  	 D3 --   1/8th.( 77) <      > 	V 80 - M 77	= +3  %+4  	q= +3  %+4  	 0.459(100)
printNotes: i= 138-<2120 2811 -691>,  	 F3 --   1/64th(  6) <      > 	V  8 - M 10	= -2  %-25  	q= +2  %+25  	 0.041(100)
printNotes: i= 139-<2730 2740 -10>,  	 E3 --   1/8th.( 77) <      > 	V 82 - M 77	= +5  %+6  	q= +5  %+6  	 0.470(100)
printNotes: i= 140-<2808 2811  -3>,  	 F3 --   1/4th.(155) <      > 	V154 - M155	= -1  %-1  	q= -1  %-1  	 0.888(100)
printNotes: i= 141-<2744 2740   4>,  	 E3 --   1/32nd( 13) <      > 	V 15 - M 13	= +2  %+13  	q= +2  %+13  	 0.081(100)
printNotes: i= 142-<2814 2811   3>,  	 F3 --     half(206) <3*sela> 	V247 - M206	=+41  %+17  	q=+41  %+17  	 1.428(100)


silence
printNotes: i= 143-<   0   40 -40>,  	Slc -- 1/32nd..( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(100)
printNotes: i= 144-<1954 1845 109>,  	 G2 --  1/64th.( 10) <      > 	V 10 - M 11	= -1  %-10  	q=  +  %+0  	 0.052(100)
printNotes: i= 145-<2338 2334   4>,  	 C3 --   1/16th( 26) <      > 	V 32 - M 26	= +6  %+19  	q= +6  %+19  	 0.180(100)
printNotes: i= 146-<2658 2811 -153>,  	 F3 --   1/8th.( 77) <      > 	V 67 - M 77	=-10  %-15  	q=-10  %-15  	 0.383(100)
printNotes: i= 147-<1831 3011 -1180>,  	 G3 --   1/64th(  6) <      > 	V  8 - M 10	= -2  %-25  	q= +2  %+25  	 0.041(100)
printNotes: i= 148-<2817 2811   6>,  	 F3 --   1/8th.( 77) <      > 	V 72 - M 77	= -5  %-7  	q= -5  %-7  	 0.412(100)
printNotes: i= 149-<2924 3011 -87>,  	 G3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(100)
printNotes: i= 150-<2739 2740  -1>,  	 E3 --  1/16th.( 39) <      > 	V 33 - M 39	= -6  %-18  	q= -6  %-18  	 0.186(100)
printNotes: i= 151-<3888 2680 1208>,  	Ek3 --  1/16th.( 39) <      > 	V 37 - M 39	= -2  %-5  	q= -2  %-5  	 0.209(100)
printNotes: i= 152-<3956 2811 1145>,  	 F3 -- 1/64th..( 11) <      > 	V 11 - M 10	= +1  %+9  	q=  +  %+0  	 0.058(100)
printNotes: i= 153-<3792 2543 1249>,  	 D3 --  1/16th.( 39) <      > 	V 41 - M 39	= +2  %+5  	q= +2  %+5  	 0.232(100)
printNotes: i= 154-<3940 2811 1129>,  	 F3 --   1/64th(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(100)
printNotes: i= 155-<3791 2543 1248>,  	 D3 -- 1/16th..( 45) <      > 	V 42 - M 39	= +3  %+7  	q= -3  %-7  	 0.238(100)
printNotes: i= 156-<3931 2811 1120>,  	 F3 --   1/64th(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(100)
printNotes: i= 157-<3793 2543 1250>,  	 D3 --  1/16th.( 39) <      > 	V 39 - M 39	=  +  %+0  	q=  +  %+0  	 0.221(100)


silence
printNotes: i= 158-<   0   40 -40>,  	Slc --   1/16th( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(100)<-----%15   %0

printNotes: i= 159-<2549 2543   6>,  	 D3 -- 1/16th..( 45) <      > 	V 45 - M 45	=  +  %+0  	q=  +  %+0  	 0.255(100)
printNotes: i= 160-<2776 2811 -35>,  	 F3 --  1/64th.( 10) <      > 	V  9 - M 11	= -2  %-22  	q= -1  %-11  	 0.046(100)
printNotes: i= 161-<2551 2543   8>,  	 D3 --  1/16th.( 39) <      > 	V 39 - M 39	=  +  %+0  	q=  +  %+0  	 0.221(100)
printNotes: i= 162-<2659 2680 -21>,  	Ek3 -- 1/32nd..( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(100)
printNotes: i= 163-<2895 2543 352>,  	 D3 --    1/8th( 52) <      > 	V 51 - M 52	= -1  %-2  	q= -1  %-2  	 0.290(100)
printNotes: i= 164-<3878 2680 1198>,  	Ek3 -- 1/16th..( 45) <      > 	V 43 - M 45	= -2  %-5  	q= -2  %-5  	 0.244(100)
printNotes: i= 165-<4012 2811 1201>,  	 F3 --   1/32nd( 13) <      > 	V 15 - M 13	= +2  %+13  	q= +2  %+13  	 0.081(100)
printNotes: i= 166-<3779 2543 1236>,  	 D3 -- 1/16th..( 45) <      > 	V 42 - M 39	= +3  %+7  	q= -3  %-7  	 0.238(100)
printNotes: i= 167-<3873 2680 1193>,  	Ek3 --    1/8th( 52) <      > 	V 56 - M 52	= +4  %+7  	q= +4  %+7  	 0.319(100)
printNotes: i= 168-<4005 2811 1194>,  	 F3 --   1/64th(  6) <      > 	V  8 - M 10	= -2  %-25  	q= +2  %+25  	 0.041(100)
printNotes: i= 169-<3787 2543 1244>,  	 D3 -- 1/16th..( 45) <      > 	V 44 - M 45	= -1  %-2  	q= -1  %-2  	 0.250(100)
printNotes: i= 170-<3673 2680 993>,  	Ek3 --  1/16th.( 39) <      > 	V 39 - M 39	=  +  %+0  	q=  +  %+0  	 0.221(100)
printNotes: i= 171-<2534 2811 -277>,  	 F3 -- 1/64th..( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(100)
printNotes: i= 172-<3790 2543 1247>,  	 D3 --  1/16th.( 39) <      > 	V 37 - M 39	= -2  %-5  	q= -2  %-5  	 0.209(100)
printNotes: i= 173-<3865 2680 1185>,  	Ek3 --   1/16th( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(100)
printNotes: i= 174-<3989 2811 1178>,  	 F3 --   1/16th( 26) <      > 	V 29 - M 26	= +3  %+10  	q= +3  %+10  	 0.163(100)
printNotes: i= 175-<4062 3011 1051>,  	 G3 --   1/64th(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(100)
printNotes: i= 176-<3893 2680 1213>,  	Ek3 --  1/32nd.( 19) <      > 	V 19 - M 19	=  +  %+0  	q=  +  %+0  	 0.104(100)
