	voice Midi Diff								present		 Best		Sec

printNotes: i= 105-<2600 2706 -106>,  	 E3 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(92)
printNotes: i= 106-<2421 2440 -19>,  	Dk3 --  1/8th..( 98) <      > 	V 99 - M 98	= +1  %+1  	q= +1  %+1  	 0.569(92)
printNotes: i= 107-<2232 2324 -92>,  	 C3 -- 1/32nd..( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(92)
printNotes: i= 108-<2623 2706 -83>,  	 E3 --    1/4th(113) <1*sela> 	V132 - M113	=+19  %+14  	q=+19  %+14  	 0.760(92)
printNotes: i= 109-<2812 2808   4>,  	 F3 --    1/8th( 56) <      > 	V 58 - M 56	= +2  %+3  	q= +2  %+3  	 0.331(92)
printNotes: i= 110-<3049 3088 -39>,  	Ab3 --   1/32nd( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(92)
printNotes: i= 111-<2814 2808   6>,  	 F3 -- 1/32nd..( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(92)
printNotes: i= 112-<2330 2706 -376>,  	 E3 --    1/8th( 56) <      > 	V 55 - M 56	= -1  %-2  	q= -1  %-2  	 0.313(92)
printNotes: i= 113-<2473 2440  33>,  	Dk3 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(92)
printNotes: i= 114-<2697 2808 -111>,  	 F3 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(92)
printNotes: i= 115-<2456 2440  16>,  	Dk3 --   1/16th( 28) <      > 	V 33 - M 28	= +5  %+15  	q= +5  %+15  	 0.186(92)
printNotes: i= 116-<1816 2324 -508>,  	 C3 --   1/16th( 28) <      > 	V 27 - M 25	= +2  %+7  	q= -1  %-4  	 0.151(92)
printNotes: i= 117-<2500 2808 -308>,  	 F3 --    1/8th( 56) <      > 	V 59 - M 56	= +3  %+5  	q= +3  %+5  	 0.337(92)
printNotes: i= 118-<2999 3026 -27>,  	 G3 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(92)
printNotes: i= 119-<2702 2706  -4>,  	 E3 --  1/16th.( 42) <      > 	V 36 - M 42	= -6  %-17  	q= -6  %-17  	 0.203(92)
printNotes: i= 120-<2811 2808   3>,  	 F3 --   1/16th( 28) <      > 	V 34 - M 28	= +6  %+18  	q= +6  %+18  	 0.192(92)
printNotes: i= 121-<2702 2706  -4>,  	 E3 --  1/4th..(197) <      > 	V189 - M197	= -8  %-4  	q= -8  %-4  	 1.091(92)
printNotes: i= 122-< 525 2440 -1915>,  	Dk3 --  1/16th.( 42) <      > 	V 38 - M 42	= -4  %-11  	q= -4  %-11  	 0.215(92)
printNotes: i= 123-<2650 2706 -56>,  	 E3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(92)
printNotes: i= 124-<2326 2324   2>,  	 C3 --  1/4th..(197) <      > 	V191 - M197	= -6  %-3  	q= -6  %-3  	 1.103(92)
printNotes: i= 125-<1483 2440 -957>,  	Dk3 --  1/32nd.( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(92)


silence
printNotes: i= 126-<   0   40 -40>,  	Slc --   whole.(675) <-2*sela> 	V634 - M681	=-47  %-7  	q=-41  %-6  	 3.675(92)
printNotes: i= 127-<1361 1260 101>,  	Dk2 -- 1/64th..( 12) <      > 	V 13 - M 14	= -1  %-8  	q= +1  %+8  	 0.070(92)
printNotes: i= 128-<1569 1597 -28>,  	 F2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(92)
printNotes: i= 129-< 484 1497 -1013>,  	 E2 --   1/16th( 28) <      > 	V 34 - M 28	= +6  %+18  	q= +6  %+18  	 0.192(92)
printNotes: i= 130-<1603 1597   6>,  	 F2 --    1/4th(113) <      > 	V111 - M113	= -2  %-2  	q= -2  %-2  	 0.639(92)
printNotes: i= 131-< 540 1497 -957>,  	 E2 -- 1/16th..( 49) <      > 	V 52 - M 49	= +3  %+6  	q= +3  %+6  	 0.296(92)
printNotes: i= 132-<1636 1597  39>,  	 F2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(92)
printNotes: i= 133-<1794 1819 -25>,  	 G2 --  1/16th.( 42) <      > 	V 42 - M 42	=  +  %+0  	q=  +  %+0  	 0.238(92)
printNotes: i= 134-<1891 1895  -4>,  	Ab2 -- 1/32nd..( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(92)
printNotes: i= 135-<1831 1819  12>,  	 G2 --   1/16th( 28) <      > 	V 32 - M 28	= +4  %+12  	q= +4  %+12  	 0.180(92)
printNotes: i= 136-<1876 1895 -19>,  	Ab2 --  1/32nd.( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(92)
printNotes: i= 137-<1818 1819  -1>,  	 G2 --   1/4th.(169) <      > 	V181 - M169	=+12  %+7  	q=+12  %+7  	 1.045(92)
printNotes: i= 138-<1169 1597 -428>,  	 F2 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(92)
printNotes: i= 139-< 979 1819 -840>,  	 G2 --  1/8th..( 98) <      > 	V 92 - M 84	= +8  %+9  	q= -6  %-7  	 0.528(92)
printNotes: i= 140-<2166 2224 -58>,  	 B2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(92)
printNotes: i= 141-< 803 1819 -1016>,  	 G2 -- 1/16th..( 49) <      > 	V 49 - M 49	=  +  %+0  	q=  +  %+0  	 0.279(92)
printNotes: i= 142-<1943 1975 -32>,  	 A2 -- 1/32nd..( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(92)
printNotes: i= 143-<1851 1819  32>,  	 G2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(92)
printNotes: i= 144-<1936 1975 -39>,  	 A2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(92)
printNotes: i= 145-<1852 1819  33>,  	 G2 -- 1/32nd..( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(92)
printNotes: i= 146-<1638 1597  41>,  	 F2 --  1/32nd.( 21) <      > 	V 18 - M 21	= -3  %-17  	q= -3  %-17  	 0.099(92)
printNotes: i= 147-< 808 1819 -1011>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(92)
printNotes: i= 148-< 961 1597 -636>,  	 F2 --   1/32nd( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(92)
printNotes: i= 149-<1837 1895 -58>,  	Ab2 -- 1/64th..( 12) <      > 	V 12 - M 11	= +1  %+8  	q=  +  %+0  	 0.064(92)
printNotes: i= 150-<1805 1819 -14>,  	 G2 -- 1/16th..( 49) <      > 	V 48 - M 49	= -1  %-2  	q= -1  %-2  	 0.273(92)
printNotes: i= 151-<1902 1895   7>,  	Ab2 --    128th(  4) <      > 	V  2 - M  4	= -2  %-100  	q= -2  %-100  	 0.006(92)
printNotes: i= 152-<1833 1819  14>,  	 G2 --     half(225) <1*sela> 	V241 - M225	=+16  %+7  	q=+16  %+7  	 1.393(92)


silence
printNotes: i= 153-<   0   40 -40>,  	Slc --   1/4th.(169) <      > 	V161 - M174	=-13  %-8  	q= -8  %-5  	 0.929(92)<-----%8   %5

printNotes: i= 154-<1196 1110  86>,  	 C2 --  1/32nd.( 21) <      > 	V 18 - M 21	= -3  %-17  	q= -3  %-17  	 0.099(92)
printNotes: i= 155-<1594 1597  -3>,  	 F2 --  1/16th.( 42) <      > 	V 38 - M 42	= -4  %-11  	q= -4  %-11  	 0.215(92)
printNotes: i= 156-<1795 1819 -24>,  	 G2 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(92)
printNotes: i= 157-<1894 1895  -1>,  	Ab2 -- 1/32nd..( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(92)
printNotes: i= 158-< 546 1975 -1429>,  	 A2 --  1/32nd.( 21) <      > 	V 18 - M 21	= -3  %-17  	q= -3  %-17  	 0.099(92)
printNotes: i= 159-<1895 1895    >,  	Ab2 --     half(225) <1*sela> 	V242 - M225	=+17  %+7  	q=+17  %+7  	 1.399(92)
printNotes: i= 160-<1829 1819  10>,  	 G2 --  1/16th.( 42) <      > 	V 40 - M 42	= -2  %-5  	q= -2  %-5  	 0.226(92)
