	voice Midi Diff								present		 Best		Sec

printNotes: i= 119-<1840 1820  20>,  	 G2 --  1/32nd.( 24) <      > 	V 22 - M 24	= -2  %-9  	q= -2  %-9  	 0.122(81)
printNotes: i= 120-<1965 2014 -49>,  	 A2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(81)
printNotes: i= 121-<1816 1820  -4>,  	 G2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)
printNotes: i= 122-<1620 1604  16>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 123-<1714 1820 -106>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 124-<1596 1604  -8>,  	 F2 -- 1/32nd..( 28) <      > 	V 26 - M 28	= -2  %-8  	q= -2  %-8  	 0.145(81)
printNotes: i= 125-<1498 1504  -6>,  	 E2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 126-<1611 1604   7>,  	 F2 --    1/8th( 64) <      > 	V 69 - M 64	= +5  %+7  	q= +5  %+7  	 0.395(81)
printNotes: i= 127-<1563 1604 -41>,  	 F2 --     half(254) <      > 	V254 - M254	=  +  %+0  	q=  +  %+0  	 1.469(81)<-- same note


silence
printNotes: i= 128-<   0   40 -40>,  	Slc --     half(254) <      > 	V250 - M261	=-11  %-4  	q= -4  %-2  	 1.445(81)
printNotes: i= 129-<1334 1104 230>,  	 C2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 130-<1979 2113 -134>,  	Bb2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(81)
printNotes: i= 131-<2037 2014  23>,  	 A2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 132-<2108 2113  -5>,  	Bb2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(81)
printNotes: i= 133-<2075 2014  61>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 134-<2307 2324 -17>,  	 C3 --     half(254) <1*sela> 	V276 - M254	=+22  %+8  	q=+22  %+8  	 1.596(81)
printNotes: i= 135-<2377 2613 -236>,  	Eb3 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(81)
printNotes: i= 136-<2319 2324  -5>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 137-<2529 2513  16>,  	 D3 --  1/16th.( 48) <      > 	V 46 - M 48	= -2  %-4  	q= -2  %-4  	 0.261(81)
printNotes: i= 138-<2352 2324  28>,  	 C3 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(81)
printNotes: i= 139-<2527 2513  14>,  	 D3 --    1/8th( 64) <      > 	V 62 - M 64	= -2  %-3  	q= -2  %-3  	 0.354(81)
printNotes: i= 140-<2673 2713 -40>,  	 E3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
printNotes: i= 141-<1567 2324 -757>,  	 C3 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(81)
printNotes: i= 142-<2509 2513  -4>,  	 D3 --   1/8th.( 95) <      > 	V 84 - M 95	=-11  %-13  	q=-11  %-13  	 0.482(81)
printNotes: i= 143-<2653 2713 -60>,  	 E3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 144-<2028 2324 -296>,  	 C3 --   1/8th.( 95) <      > 	V100 - M 95	= +5  %+5  	q= +5  %+5  	 0.575(81)
printNotes: i= 145-<1491 2713 -1222>,  	 E3 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(81)
printNotes: i= 146-<2518 2513   5>,  	 D3 --    1/8th( 64) <      > 	V 78 - M 64	=+14  %+18  	q=+14  %+18  	 0.447(81)
printNotes: i= 147-<1967 2813 -846>,  	 F3 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(81)
printNotes: i= 148-<2508 2513  -5>,  	 D3 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(81)
printNotes: i= 149-<1737 2324 -587>,  	 C3 -- 1/16th..( 56) <      > 	V 54 - M 56	= -2  %-4  	q= -2  %-4  	 0.308(81)
printNotes: i= 150-<2363 2513 -150>,  	 D3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 151-<2083 2113 -30>,  	Bb2 --    1/4th(127) <      > 	V133 - M127	= +6  %+5  	q= +6  %+5  	 0.766(81)
printNotes: i= 152-<2034 2014  20>,  	 A2 -- 1/64th..( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(81)
printNotes: i= 153-<1993 2113 -120>,  	Bb2 --    half.(381) <-1*sela> 	V350 - M381	=-31  %-9  	q=-31  %-9  	 2.026(81)


silence
printNotes: i= 154-<   0   40 -40>,  	Slc --    1/8th( 64) <      > 	V 61 - M 71	=-10  %-16  	q= -3  %-5  	 0.348(81)<-----%16   %5

printNotes: i= 155-<1756 1604 152>,  	 F2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
printNotes: i= 156-<2082 2113 -31>,  	Bb2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)
printNotes: i= 157-<2017 2014   3>,  	 A2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(81)
printNotes: i= 158-<2117 2113   4>,  	Bb2 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(81)
printNotes: i= 159-<2307 2324 -17>,  	 C3 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 160-<1132 2513 -1381>,  	 D3 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(81)
printNotes: i= 161-<2044 2113 -69>,  	Bb2 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(81)
printNotes: i= 162-<2303 2324 -21>,  	 C3 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(81)
printNotes: i= 163-<2126 2113  13>,  	Bb2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 164-<2351 2324  27>,  	 C3 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(81)
printNotes: i= 165-<2491 2613 -122>,  	Eb3 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(81)
printNotes: i= 166-<2137 2113  24>,  	Bb2 --   1/16th( 32) <      > 	V 36 - M 32	= +4  %+11  	q= +4  %+11  	 0.203(81)
printNotes: i= 167-<2321 2324  -3>,  	 C3 -- 1/16th..( 56) <      > 	V 53 - M 56	= -3  %-6  	q= -3  %-6  	 0.302(81)
printNotes: i= 168-<2517 2613 -96>,  	Eb3 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(81)
printNotes: i= 169-<1021 2113 -1092>,  	Bb2 -- 1/16th..( 56) <      > 	V 52 - M 56	= -4  %-8  	q= -4  %-8  	 0.296(81)
printNotes: i= 170-<2020 2014   6>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 171-<2307 2324 -17>,  	 C3 --    1/8th( 64) <      > 	V 72 - M 64	= +8  %+11  	q= +8  %+11  	 0.412(81)
printNotes: i= 172-<2512 2613 -101>,  	Eb3 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(81)
printNotes: i= 173-<2134 2113  21>,  	Bb2 --   1/8th.( 95) <      > 	V 98 - M 95	= +3  %+3  	q= +3  %+3  	 0.563(81)
printNotes: i= 174-<2055 2014  41>,  	 A2 -- 1/32nd..( 28) <      > 	V 26 - M 28	= -2  %-8  	q= -2  %-8  	 0.145(81)
printNotes: i= 175-<2435 2513 -78>,  	 D3 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(81)
printNotes: i= 176-<2320 2324  -4>,  	 C3 --   1/8th.( 95) <      > 	V 82 - M 95	=-13  %-16  	q=-13  %-16  	 0.470(81)
