	voice Midi Diff								present		 Best		Sec

printNotes: i= 71-<2398 2642 -244>,  	Ak2 --  1/64th.( 12) <      > 	V  9 - M 15	= -6  %-67  	q= -3  %-33  	 0.046(84)<-----%67   %33 <<

printNotes: i= 72-<2483 2494 -11>,  	 G2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(84)
printNotes: i= 73-<1951 2642 -691>,  	Ak2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(84)
printNotes: i= 74-<2288 2294  -6>,  	 F2 --  1/32nd.( 23) <      > 	V 19 - M 23	= -4  %-21  	q= -4  %-21  	 0.104(84)
printNotes: i= 75-<2490 2494  -4>,  	 G2 --   128th.(  6) <      > 	V  6 - M  8	= -2  %-33  	q=  +  %+0  	 0.029(84)<-----%33   %0 <<

printNotes: i= 76-<2289 2294  -5>,  	 F2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(84)
printNotes: i= 77-<2423 2494 -71>,  	 G2 --    128th(  4) <      > 	V  5 - M  8	= -3  %-60  	q= +1  %+20  	 0.023(84)<-----%60   %20 <<

printNotes: i= 78-<2300 2294   6>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(84)<-----%15   %0

printNotes: i= 79-<2175 2175    >,  	 E2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 80-<2323 2294  29>,  	 F2 --    128th(  4) <      > 	V  5 - M 15	=-10  %-200  	q= +1  %+20  	 0.023(84)<-----%200   %20 <<

printNotes: i= 81-<2173 2175  -2>,  	 E2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 82-<2297 2294   3>,  	 F2 --    1/4th(123) <1*sela> 	V149 - M154	= -5  %-3  	q=+26  %+17  	 0.859(84)
printNotes: i= 83-<2194 2175  19>,  	 E2 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(84)


silence
printNotes: i= 84-<   0   40 -40>,  	Slc --   whole.(738) <      > 	V752 - M831	=-79  %-11  	q=+14  %+2  	 4.360(84)<-----%11   %2

printNotes: i= 85-<1588 2494 -906>,  	 G2 --    1/4th(123) <      > 	V122 - M 92	=+30  %+25  	q= -1  %-1  	 0.702(84)<-----%25   %1

printNotes: i= 86-<2879 2874   5>,  	 B2 --   1/4th.(185) <      > 	V174 - M123	=+51  %+29  	q=-11  %-6  	 1.004(84)<-----%29   %6

printNotes: i= 87-<2333 2642 -309>,  	Ak2 -- 1/16th..( 54) <      > 	V 57 - M 62	= -5  %-9  	q= +3  %+5  	 0.325(84)<-----%9   %5

printNotes: i= 88-<2650 2642   8>,  	Ak2 --    half.(369) <-4*sela> 	V308 - M308	=  +  %+0  	q=-61  %-20  	 1.782(84)<-- same note
printNotes: i= 89-<1404 2494 -1090>,  	 G2 --    1/8th( 62) <      > 	V 68 - M 62	= +6  %+9  	q= +6  %+9  	 0.389(84)


silence
printNotes: i= 90-<   0   40 -40>,  	Slc --   1/16th( 31) <      > 	V 35 - M123	=-88  %-251  	q= +4  %+11  	 0.197(84)<-----%251   %11

printNotes: i= 91-<2654 2642  12>,  	Ak2 --  1/16th.( 46) <      > 	V 40 - M 46	= -6  %-15  	q= -6  %-15  	 0.226(84)
printNotes: i= 92-<2877 2874   3>,  	 B2 --    1/4th(123) <1*sela> 	V147 - M185	=-38  %-26  	q=+24  %+16  	 0.848(84)<-----%26   %16

printNotes: i= 93-<2019 2642 -623>,  	Ak2 --    1/8th( 62) <      > 	V 66 - M 31	=+35  %+53  	q= +4  %+6  	 0.377(84)<-----%53   %6

printNotes: i= 94-<2622 2642 -20>,  	Ak2 --    1/4th(123) <      > 	V123 - M123	=  +  %+0  	q=  +  %+0  	 0.708(84)<-- same note
printNotes: i= 95-<2104 2494 -390>,  	 G2 --  1/8th..(108) <      > 	V105 - M 46	=+59  %+56  	q= -3  %-3  	 0.604(84)<-----%56   %3

printNotes: i= 96-<1487 2494 -1007>,  	 G2 --    1/8th( 62) <      > 	V 62 - M 62	=  +  %+0  	q=  +  %+0  	 0.354(84)<-- same note
printNotes: i= 97-<2872 2874  -2>,  	 B2 --    1/4th(123) <1*sela> 	V152 - M185	=-33  %-22  	q=+29  %+19  	 0.877(84)
printNotes: i= 98-<2647 2642   5>,  	Ak2 --   1/8th.( 92) <      > 	V 79 - M 92	=-13  %-16  	q=-13  %-16  	 0.453(84)
printNotes: i= 99-<2879 2874   5>,  	 B2 --  1/16th.( 46) <      > 	V 39 - M 46	= -7  %-18  	q= -7  %-18  	 0.221(84)
printNotes: i= 100-<2483 2642 -159>,  	Ak2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 101-<2863 2874 -11>,  	 B2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(84)
printNotes: i= 102-<2651 2642   9>,  	Ak2 --  1/32nd.( 23) <      > 	V 19 - M 15	= +4  %+21  	q= -4  %-21  	 0.104(84)
printNotes: i= 103-<2576 2874 -298>,  	 B2 --   1/64th(  8) <      > 	V 10 - M 15	= -5  %-50  	q= +2  %+20  	 0.052(84)<-----%50   %20 <<

printNotes: i= 104-<2594 2642 -48>,  	Ak2 -- 1/32nd..( 27) <      > 	V 28 - M 31	= -3  %-11  	q= +1  %+4  	 0.157(84)<-----%11   %4

printNotes: i= 105-<2487 2494  -7>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 106-<2671 2642  29>,  	Ak2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(84)<-----%15   %0 <<

printNotes: i= 107-<2466 2494 -28>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(84)
printNotes: i= 108-<2443 2642 -199>,  	Ak2 --  1/64th.( 12) <      > 	V 11 - M 15	= -4  %-36  	q= -1  %-9  	 0.058(84)<-----%36   %9 <<

printNotes: i= 109-<2514 2494  20>,  	 G2 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(84)
printNotes: i= 110-<2307 2294  13>,  	 F2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 111-<2438 2494 -56>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(84)<-----%15   %0 <<

printNotes: i= 112-<2284 2294 -10>,  	 F2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 113-<2468 2494 -26>,  	 G2 --   1/64th(  8) <      > 	V 10 - M 15	= -5  %-50  	q= +2  %+20  	 0.052(84)<-----%50   %20 <<

printNotes: i= 114-<2296 2294   2>,  	 F2 --  1/32nd.( 23) <      > 	V 19 - M 31	=-12  %-63  	q= -4  %-21  	 0.104(84)<-----%63   %21

printNotes: i= 115-<2603 2642 -39>,  	Ak2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 116-<2444 2494 -50>,  	 G2 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(84)
printNotes: i= 117-<2596 2642 -46>,  	Ak2 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(84)
printNotes: i= 118-<2697 2874 -177>,  	 B2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 119-<2517 2494  23>,  	 G2 --  1/32nd.( 23) <      > 	V 24 - M 41	=-17  %-71  	q= +1  %+4  	 0.134(84)<-----%71   %4

printNotes: i= 120-<2634 2642  -8>,  	Ak2 --   1/16th( 31) <      > 	V 29 - M 41	=-12  %-41  	q= -2  %-7  	 0.163(84)<-----%41   %7

printNotes: i= 121-<2495 2494   1>,  	 G2 --  1/4th..(215) <      > 	V204 - M226	=-22  %-11  	q=-11  %-5  	 1.178(84)<-----%11   %5

