	voice Midi Diff								present		 Best		Sec

printNotes: i= 94-<2381 2560 -179>,  	 C3 --  1/4th..(253) <      > 	V237 - M253	=-16  %-7  	q=-16  %-7  	 1.370(71)


silence
printNotes: i= 95-<   0   40 -40>,  	Slc -- 1/16th..( 63) <      > 	V 62 - M 63	= -1  %-2  	q= -1  %-2  	 0.354(71)
printNotes: i= 96-<1595 1552  43>,  	 D2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(71)
printNotes: i= 97-<1520 1834 -314>,  	 F2 --   1/32nd( 18) <      > 	V 20 - M 18	= +2  %+10  	q= +2  %+10  	 0.110(71)
printNotes: i= 98-<2256 2410 -154>,  	Bk2 --  1/16th.( 54) <      > 	V 54 - M 54	=  +  %+0  	q=  +  %+0  	 0.308(71)
printNotes: i= 99-<2543 2560 -17>,  	 C3 --  1/64th.( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(71)
printNotes: i= 100-<2490 2410  80>,  	Bk2 --  1/32nd.( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(71)
printNotes: i= 101-<2790 2787   3>,  	 D3 --   1/4th.(217) <-2*sela> 	V181 - M217	=-36  %-20  	q=-36  %-20  	 1.045(71)
printNotes: i= 102-<2560 2560    >,  	 C3 --    1/8th( 72) <      > 	V 76 - M 72	= +4  %+5  	q= +4  %+5  	 0.435(71)
printNotes: i= 103-<2815 2787  28>,  	 D3 --   1/16th( 36) <      > 	V 42 - M 36	= +6  %+14  	q= +6  %+14  	 0.238(71)
printNotes: i= 104-<2584 2560  24>,  	 C3 -- 1/64th..( 16) <      > 	V 17 - M 18	= -1  %-6  	q= +1  %+6  	 0.093(71)
printNotes: i= 105-<2692 2787 -95>,  	 D3 --  1/64th.( 14) <      > 	V 12 - M 14	= -2  %-17  	q= -2  %-17  	 0.064(71)
printNotes: i= 106-<2549 2560 -11>,  	 C3 --  1/16th.( 54) <      > 	V 52 - M 54	= -2  %-4  	q= -2  %-4  	 0.296(71)
printNotes: i= 107-<2387 2358  29>,  	Bb2 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(71)
printNotes: i= 108-<2588 2560  28>,  	 C3 --  1/64th.( 14) <      > 	V 11 - M 14	= -3  %-27  	q= -3  %-27  	 0.058(71)
printNotes: i= 109-<2385 2358  27>,  	Bb2 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(71)
printNotes: i= 110-<2575 2560  15>,  	 C3 --  1/64th.( 14) <      > 	V 11 - M 14	= -3  %-27  	q= -3  %-27  	 0.058(71)
printNotes: i= 111-<2375 2358  17>,  	Bb2 --  1/64th.( 14) <      > 	V 13 - M 14	= -1  %-8  	q= -1  %-8  	 0.070(71)
printNotes: i= 112-<2424 2410  14>,  	Bk2 --  1/64th.( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(71)
printNotes: i= 113-<2190 2192  -2>,  	Ak2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(71)
printNotes: i= 114-<2320 2358 -38>,  	Bb2 --    128th(  5) <      > 	V  6 - M  5	= +1  %+17  	q= +1  %+17  	 0.029(71)
printNotes: i= 115-<2185 2192  -7>,  	Ak2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(71)
printNotes: i= 116-<2443 2410  33>,  	Bk2 -- 1/64th..( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(71)
printNotes: i= 117-<2249 2258  -9>,  	 A2 -- 1/32nd..( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(71)
printNotes: i= 118-<2402 2410  -8>,  	Bk2 --  1/4th..(253) <      > 	V256 - M253	= +3  %+1  	q= +3  %+1  	 1.480(71)
printNotes: i= 119-<2560 2560    >,  	 C3 --  1/16th.( 54) <      > 	V 51 - M 54	= -3  %-6  	q= -3  %-6  	 0.290(71)
printNotes: i= 120-<2911 2937 -26>,  	Ek3 --  1/32nd.( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(71)


silence
printNotes: i= 121-<   0   40 -40>,  	Slc --     half(290) <1*sela> 	V308 - M290	=+18  %+6  	q=+18  %+6  	 1.782(71)
printNotes: i= 122-<1857 1702 155>,  	Ek2 --  1/32nd.( 27) <      > 	V 23 - M 27	= -4  %-17  	q= -4  %-17  	 0.128(71)
printNotes: i= 123-<2363 2410 -47>,  	Bk2 --   1/8th.(109) <      > 	V100 - M109	= -9  %-9  	q= -9  %-9  	 0.575(71)
printNotes: i= 124-<2205 2192  13>,  	Ak2 --  1/32nd.( 27) <      > 	V 23 - M 27	= -4  %-17  	q= -4  %-17  	 0.128(71)
printNotes: i= 125-<2003 2410 -407>,  	Bk2 --    1/4th(145) <1*sela> 	V174 - M145	=+29  %+17  	q=+29  %+17  	 1.004(71)
printNotes: i= 126-<2118 2560 -442>,  	 C3 --  1/64th.( 14) <      > 	V 11 - M 14	= -3  %-27  	q= -3  %-27  	 0.058(71)
printNotes: i= 127-<2391 2410 -19>,  	Bk2 --   1/16th( 36) <      > 	V 35 - M 36	= -1  %-3  	q= -1  %-3  	 0.197(71)


silence
printNotes: i= 128-<   0   40 -40>,  	Slc --  1/8th..(127) <      > 	V125 - M127	= -2  %-2  	q= -2  %-2  	 0.720(71)
printNotes: i= 129-< 800 1702 -902>,  	Ek2 --   1/16th( 36) <      > 	V 39 - M 36	= +3  %+8  	q= +3  %+8  	 0.221(71)
printNotes: i= 130-<2316 2410 -94>,  	Bk2 --   1/32nd( 18) <      > 	V 21 - M 18	= +3  %+14  	q= +3  %+14  	 0.116(71)
printNotes: i= 131-<2181 2192 -11>,  	Ak2 -- 1/32nd..( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(71)
printNotes: i= 132-<2417 2410   7>,  	Bk2 --   1/32nd( 18) <      > 	V 21 - M 18	= +3  %+14  	q= +3  %+14  	 0.116(71)
printNotes: i= 133-<2182 2192 -10>,  	Ak2 --    1/8th( 72) <      > 	V 76 - M 72	= +4  %+5  	q= +4  %+5  	 0.435(71)
printNotes: i= 134-<2104 2078  26>,  	 G2 -- 1/32nd..( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(71)
printNotes: i= 135-<2391 2410 -19>,  	Bk2 --   1/4th.(217) <-1*sela> 	V190 - M217	=-27  %-14  	q=-27  %-14  	 1.097(71)
printNotes: i= 136-<2209 2192  17>,  	Ak2 --  1/16th.( 54) <      > 	V 52 - M 54	= -2  %-4  	q= -2  %-4  	 0.296(71)
printNotes: i= 137-< 839 2410 -1571>,  	Bk2 -- 1/16th..( 63) <      > 	V 66 - M 63	= +3  %+5  	q= +3  %+5  	 0.377(71)
printNotes: i= 138-<2551 2560  -9>,  	 C3 --   1/4th.(217) <      > 	V232 - M253	=-21  %-9  	q=+15  %+6  	 1.341(71)
printNotes: i= 139-<2194 2410 -216>,  	Bk2 --  1/16th.( 54) <      > 	V 56 - M 54	= +2  %+4  	q= +2  %+4  	 0.319(71)
printNotes: i= 140-<2541 2560 -19>,  	 C3 --   1/16th( 36) <      > 	V 35 - M 36	= -1  %-3  	q= -1  %-3  	 0.197(71)
printNotes: i= 141-<2390 2358  32>,  	Bb2 -- 1/64th..( 16) <      > 	V 16 - M 18	= -2  %-12  	q=  +  %+0  	 0.087(71)
printNotes: i= 142-<2545 2560 -15>,  	 C3 --  1/64th.( 14) <      > 	V 11 - M 14	= -3  %-27  	q= -3  %-27  	 0.058(71)
printNotes: i= 143-<2375 2358  17>,  	Bb2 --   1/32nd( 18) <      > 	V 20 - M 18	= +2  %+10  	q= +2  %+10  	 0.110(71)
printNotes: i= 144-<2470 2560 -90>,  	 C3 --    128th(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(71)
printNotes: i= 145-<2384 2358  26>,  	Bb2 -- 1/64th..( 16) <      > 	V 17 - M 18	= -1  %-6  	q= +1  %+6  	 0.093(71)
printNotes: i= 146-<2430 2560 -130>,  	 C3 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(71)
printNotes: i= 147-<2189 2192  -3>,  	Ak2 --   1/32nd( 18) <      > 	V 22 - M 18	= +4  %+18  	q= +4  %+18  	 0.122(71)
printNotes: i= 148-<2382 2410 -28>,  	Bk2 --  128th..(  8) <      > 	V  8 - M  9	= -1  %-12  	q=  +  %+0  	 0.041(71)
printNotes: i= 149-<2102 2192 -90>,  	Ak2 --  1/32nd.( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(71)
printNotes: i= 150-<2458 2460  -2>,  	 B2 --  1/64th.( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(71)
printNotes: i= 151-<2191 2192  -1>,  	Ak2 -- 1/32nd..( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(71)
printNotes: i= 152-<2072 2078  -6>,  	 G2 --  1/64th.( 14) <      > 	V 13 - M 14	= -1  %-8  	q= -1  %-8  	 0.070(71)
printNotes: i= 153-<1920 2192 -272>,  	Ak2 --    1/8th( 72) <      > 	V 88 - M 72	=+16  %+18  	q=+16  %+18  	 0.505(71)


silence
printNotes: i= 154-<   0   40 -40>,  	Slc --    half.(434) <      > 	V441 - M441	=  +  %+0  	q= +7  %+2  	 2.554(71)
printNotes: i= 155-<1323 2192 -869>,  	Ak2 --  1/32nd.( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(71)
printNotes: i= 156-<1478 2078 -600>,  	 G2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(71)
printNotes: i= 157-<2344 2358 -14>,  	Bb2 --  1/32nd.( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(71)
printNotes: i= 158-<2199 2192   7>,  	Ak2 --  1/8th..(127) <      > 	V128 - M127	= +1  %+1  	q= +1  %+1  	 0.737(71)
printNotes: i= 159-<2108 2078  30>,  	 G2 --   1/32nd( 18) <      > 	V 21 - M 18	= +3  %+14  	q= +3  %+14  	 0.116(71)
printNotes: i= 160-<2185 2192  -7>,  	Ak2 --    1/8th( 72) <      > 	V 77 - M 72	= +5  %+6  	q= +5  %+6  	 0.441(71)
printNotes: i= 161-<2071 2078  -7>,  	 G2 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(71)
printNotes: i= 162-< 348 2142 -1794>,  	Ab2 -- 1/32nd..( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(71)
printNotes: i= 163-<2114 2358 -244>,  	Bb2 --   1/8th.(109) <      > 	V102 - M109	= -7  %-7  	q= -7  %-7  	 0.586(71)
printNotes: i= 164-< 928 2192 -1264>,  	Ak2 --   1/16th( 36) <      > 	V 35 - M 36	= -1  %-3  	q= -1  %-3  	 0.197(71)
printNotes: i= 165-<2060 2078 -18>,  	 G2 --  1/32nd.( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(71)
printNotes: i= 166-<1769 2358 -589>,  	Bb2 --  1/16th.( 54) <      > 	V 45 - M 54	= -9  %-20  	q= -9  %-20  	 0.255(71)
printNotes: i= 167-<2149 2192 -43>,  	Ak2 --   1/8th.(109) <      > 	V112 - M109	= +3  %+3  	q= +3  %+3  	 0.644(71)
printNotes: i= 168-<2087 2078   9>,  	 G2 -- 1/32nd..( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(71)


silence
printNotes: i= 169-<   0   40 -40>,  	Slc --  1/8th..(127) <      > 	V129 - M127	= +2  %+2  	q= +2  %+2  	 0.743(71)
printNotes: i= 170-<2140 2192 -52>,  	Ak2 --    1/8th( 72) <      > 	V 79 - M 72	= +7  %+9  	q= +7  %+9  	 0.453(71)
printNotes: i= 171-< 952 2078 -1126>,  	 G2 -- 1/16th..( 63) <      > 	V 66 - M 63	= +3  %+5  	q= +3  %+5  	 0.377(71)
printNotes: i= 172-<2354 2358  -4>,  	Bb2 --  1/64th.( 14) <      > 	V 11 - M 14	= -3  %-27  	q= -3  %-27  	 0.058(71)
