	voice Midi Diff								present		 Best		Sec

printNotes: i= 82-<2179 2207 -28>,  	Ak2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)
printNotes: i= 83-<2075 2083  -8>,  	 G2 --  1/8th..(101) <      > 	V100 - M101	= -1  %-1  	q= -1  %-1  	 0.575(89)
printNotes: i= 84-<1601 2207 -606>,  	Ak2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(89)
printNotes: i= 85-<1870 1835  35>,  	 F2 --    1/8th( 58) <      > 	V 71 - M 58	=+13  %+18  	q=+13  %+18  	 0.406(89)
printNotes: i= 86-<1737 1704  33>,  	Ek2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 87-<1852 1835  17>,  	 F2 -- 1/32nd..( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(89)
printNotes: i= 88-<2076 2083  -7>,  	 G2 --   1/16th( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(89)
printNotes: i= 89-<1838 1835   3>,  	 F2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(89)
printNotes: i= 90-<2080 2083  -3>,  	 G2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(89)
printNotes: i= 91-<1861 1835  26>,  	 F2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(89)
printNotes: i= 92-<1976 2083 -107>,  	 G2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(89)
printNotes: i= 93-<1766 1704  62>,  	Ek2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 94-<1833 1835  -2>,  	 F2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(89)


silence
printNotes: i= 95-<1700   40 1660>,  	Slc --    128th(  4) <      > 	V  4 - M  7	= -3  %-75  	q=  +  %+0  	 0.017(89)<-----%75   %0 <<

printNotes: i= 96-<1530 1704 -174>,  	Ek2 --    1/4th(116) <      > 	V119 - M116	= +3  %+3  	q= +3  %+3  	 0.685(89)
printNotes: i= 97-<1596 1554  42>,  	 D2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(89)
printNotes: i= 98-<1679 1704 -25>,  	Ek2 --    1/8th( 58) <      > 	V 63 - M 58	= +5  %+8  	q= +5  %+8  	 0.360(89)
printNotes: i= 99-<1894 1835  59>,  	 F2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(89)
printNotes: i= 100-<1705 1704   1>,  	Ek2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(89)


silence
printNotes: i= 101-<   0   40 -40>,  	Slc --    1/4th(116) <      > 	V109 - M116	= -7  %-6  	q= -7  %-6  	 0.627(89)
printNotes: i= 102-<1345 1383 -38>,  	 C2 -- 1/16th..( 51) <      > 	V 48 - M 51	= -3  %-6  	q= -3  %-6  	 0.273(89)
printNotes: i= 103-<1709 1704   5>,  	Ek2 --    half.(347) <-2*sela> 	V307 - M347	=-40  %-13  	q=-40  %-13  	 1.776(89)
printNotes: i= 104-<2072 2207 -135>,  	Ak2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(89)


silence
printNotes: i= 105-<   0   40 -40>,  	Slc --   whole.(694) <2*sela> 	V727 - M752	=-25  %-3  	q=+33  %+5  	 4.214(89)
printNotes: i= 106-<1876 1835  41>,  	 F2 --  128th..(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(89)
printNotes: i= 107-<1160 2083 -923>,  	 G2 --  1/16th.( 43) <      > 	V 39 - M 43	= -4  %-10  	q= -4  %-10  	 0.221(89)
printNotes: i= 108-<1689 2558 -869>,  	 C3 --  1/32nd.( 22) <      > 	V 18 - M 22	= -4  %-22  	q= -4  %-22  	 0.099(89)
printNotes: i= 109-<1893 2382 -489>,  	Bb2 --     half(231) <      > 	V235 - M231	= +4  %+2  	q= +4  %+2  	 1.358(89)
printNotes: i= 110-<2373 2382  -9>,  	Bb2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)<-- same note
printNotes: i= 111-<2226 2207  19>,  	Ak2 --  1/64th.( 11) <      > 	V 12 - M 14	= -2  %-17  	q= +1  %+8  	 0.064(89)
printNotes: i= 112-<2374 2382  -8>,  	Bb2 --  1/16th.( 43) <      > 	V 42 - M 43	= -1  %-2  	q= -1  %-2  	 0.238(89)
printNotes: i= 113-<2332 2558 -226>,  	 C3 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(89)
printNotes: i= 114-<2179 2382 -203>,  	Bb2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(89)


silence
printNotes: i= 115-<   0   40 -40>,  	Slc --   1/4th.(173) <      > 	V166 - M173	= -7  %-4  	q= -7  %-4  	 0.958(89)
