	voice Midi Diff								present		 Best		Sec

printNotes: i= 148-<2111 2104   7>,  	 G2 --    1/8th( 64) <      > 	V 78 - M 64	=+14  %+18  	q=+14  %+18  	 0.447(81)
printNotes: i= 149-<1880 1878   2>,  	 F2 --    half.(384) <-2*sela> 	V343 - M384	=-41  %-12  	q=-41  %-12  	 1.985(81)
printNotes: i= 150-<1743 1744  -1>,  	Ek2 --  1/8th..(112) <      > 	V119 - M128	= -9  %-8  	q= +7  %+6  	 0.685(81)
printNotes: i= 151-<1615 1610   5>,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 14	= +2  %+12  	q=  +  %+0  	 0.087(81)
printNotes: i= 152-<1744 1744    >,  	Ek2 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(81)
printNotes: i= 153-<1834 1878 -44>,  	 F2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(81)
printNotes: i= 154-<1768 1744  24>,  	Ek2 --  1/16th.( 48) <      > 	V 44 - M 48	= -4  %-9  	q= -4  %-9  	 0.250(81)
printNotes: i= 155-<2118 2241 -123>,  	Ak2 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(81)


silence
printNotes: i= 156-<   0   40 -40>,  	Slc --    half.(384) <      > 	V393 - M390	= +3  %+1  	q= +9  %+2  	 2.276(81)
printNotes: i= 157-<1498 1388 110>,  	 C2 -- 1/32nd..( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(81)
printNotes: i= 158-<2105 2241 -136>,  	Ak2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(81)
printNotes: i= 159-<2107 2104   3>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(81)
printNotes: i= 160-<2176 2241 -65>,  	Ak2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(81)
printNotes: i= 161-<1869 1878  -9>,  	 F2 --   1/4th.(192) <      > 	V180 - M192	=-12  %-7  	q=-12  %-7  	 1.039(81)
printNotes: i= 162-<1754 1744  10>,  	Ek2 --    1/4th(128) <      > 	V140 - M128	=+12  %+9  	q=+12  %+9  	 0.807(81)
printNotes: i= 163-<1890 1878  12>,  	 F2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)
printNotes: i= 164-<2123 2104  19>,  	 G2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(81)
printNotes: i= 165-<2182 2241 -59>,  	Ak2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 166-<1919 1878  41>,  	 F2 --  1/32nd.( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(81)
printNotes: i= 167-<2069 2104 -35>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 168-<1753 1744   9>,  	Ek2 --    1/4th(128) <      > 	V133 - M128	= +5  %+4  	q= +5  %+4  	 0.766(81)
printNotes: i= 169-<1661 1610  51>,  	 D2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 170-<1768 1744  24>,  	Ek2 -- 1/16th..( 56) <      > 	V 53 - M 56	= -3  %-6  	q= -3  %-6  	 0.302(81)
