	voice Midi Diff								present		 Best		Sec

printNotes: i= 111-<1840 1871 -31>,  	 F2 --   1/16th( 35) <      > 	V 36 - M 35	= +1  %+3  	q= +1  %+3  	 0.203(73)
printNotes: i= 112-<2100 2097   3>,  	 G2 --  1/8th..(124) <      > 	V124 - M124	=  +  %+0  	q=  +  %+0  	 0.714(73)
printNotes: i= 113-<1894 1871  23>,  	 F2 --   1/16th( 35) <      > 	V 36 - M 35	= +1  %+3  	q= +1  %+3  	 0.203(73)
printNotes: i= 114-<1746 1747  -1>,  	Ek2 --    1/8th( 71) <      > 	V 80 - M 71	= +9  %+11  	q= +9  %+11  	 0.459(73)
printNotes: i= 115-<1884 1871  13>,  	 F2 --  1/16th.( 53) <      > 	V 52 - M 53	= -1  %-2  	q= -1  %-2  	 0.296(73)
printNotes: i= 116-<2113 2097  16>,  	 G2 -- 1/32nd..( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(73)
printNotes: i= 117-<2248 2369 -121>,  	Bb2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(73)
printNotes: i= 118-<1906 1871  35>,  	 F2 --   1/32nd( 18) <      > 	V 22 - M 18	= +4  %+18  	q= +4  %+18  	 0.122(73)
printNotes: i= 119-<2065 2097 -32>,  	 G2 --   1/16th( 35) <      > 	V 40 - M 35	= +5  %+12  	q= +5  %+12  	 0.226(73)
printNotes: i= 120-<1876 1871   5>,  	 F2 --  1/16th.( 53) <      > 	V 57 - M 62	= -5  %-9  	q= +4  %+7  	 0.325(73)
printNotes: i= 121-<2102 2097   5>,  	 G2 --    1/4th(142) <1*sela> 	V162 - M142	=+20  %+12  	q=+20  %+12  	 0.935(73)
printNotes: i= 122-<1875 1871   4>,  	 F2 --  1/4th..(248) <      > 	V250 - M248	= +2  %+1  	q= +2  %+1  	 1.445(73)
printNotes: i= 123-<1733 1747 -14>,  	Ek2 --  1/16th.( 53) <      > 	V 52 - M 53	= -1  %-2  	q= -1  %-2  	 0.296(73)


silence
printNotes: i= 124-<   0   40 -40>,  	Slc --   1/4th.(212) <      > 	V216 - M220	= -4  %-2  	q= +4  %+2  	 1.248(73)
printNotes: i= 125-<1519 1397 122>,  	 C2 --   1/32nd( 18) <      > 	V 16 - M 18	= -2  %-12  	q= -2  %-12  	 0.087(73)
printNotes: i= 126-<1993 2097 -104>,  	 G2 --   1/16th( 35) <      > 	V 35 - M 35	=  +  %+0  	q=  +  %+0  	 0.197(73)
printNotes: i= 127-<1864 1871  -7>,  	 F2 --   1/8th.(106) <      > 	V107 - M106	= +1  %+1  	q= +1  %+1  	 0.615(73)
printNotes: i= 128-<2209 2219 -10>,  	Ak2 --   1/32nd( 18) <      > 	V 17 - M 18	= -1  %-6  	q= -1  %-6  	 0.093(73)
printNotes: i= 129-<2071 2097 -26>,  	 G2 --   1/16th( 35) <      > 	V 33 - M 35	= -2  %-6  	q= -2  %-6  	 0.186(73)
printNotes: i= 130-<1870 1871  -1>,  	 F2 --   1/32nd( 18) <      > 	V 22 - M 18	= +4  %+18  	q= +4  %+18  	 0.122(73)
printNotes: i= 131-<2004 2097 -93>,  	 G2 --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(73)
printNotes: i= 132-<1876 1871   5>,  	 F2 --   1/16th( 35) <      > 	V 42 - M 35	= +7  %+17  	q= +7  %+17  	 0.238(73)
printNotes: i= 133-<1757 1747  10>,  	Ek2 -- 1/32nd..( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(73)
printNotes: i= 134-<1898 1871  27>,  	 F2 --   1/32nd( 18) <      > 	V 20 - M 18	= +2  %+10  	q= +2  %+10  	 0.110(73)
printNotes: i= 135-<1711 1747 -36>,  	Ek2 -- 1/16th..( 62) <      > 	V 61 - M 62	= -1  %-2  	q= -1  %-2  	 0.348(73)
