	voice Midi Diff								present		 Best		Sec

printNotes: i= 106-<1765 1761   4>,  	 C2 --    1/4th(138) <1*sela> 	V157 - M138	=+19  %+12  	q=+19  %+12  	 0.906(75)
printNotes: i= 107-<1603 2145 -542>,  	 E2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(75)
printNotes: i= 108-<1731 1761 -30>,  	 C2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(75)


silence
printNotes: i= 109-<   0   40 -40>,  	Slc --   1/4th.(206) <      > 	V195 - M212	=-17  %-9  	q=-11  %-6  	 1.126(75)<-----%9   %6

printNotes: i= 110-<1322 1417 -95>,  	Ak1 --   1/16th( 34) <      > 	V 36 - M 34	= +2  %+6  	q= +2  %+6  	 0.203(75)
printNotes: i= 111-<1318 1275  43>,  	 G1 --   1/16th( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(75)
printNotes: i= 112-<1438 1417  21>,  	Ak1 --   1/16th( 34) <      > 	V 42 - M 34	= +8  %+19  	q= +8  %+19  	 0.238(75)
printNotes: i= 113-<1649 1670 -21>,  	 B1 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(75)
printNotes: i= 114-<1283 1275   8>,  	 G1 --    1/4th(138) <      > 	V129 - M138	= -9  %-7  	q= -9  %-7  	 0.743(75)
printNotes: i= 115-<1401 1417 -16>,  	Ak1 --    1/4th(138) <1*sela> 	V161 - M155	= +6  %+4  	q=+23  %+14  	 0.929(75)
printNotes: i= 116-<1753 1761  -8>,  	 C2 --    1/4th(138) <1*sela> 	V167 - M172	= -5  %-3  	q=+29  %+17  	 0.964(75)
printNotes: i= 117-<1677 1670   7>,  	 B1 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(75)
printNotes: i= 118-<1759 1761  -2>,  	 C2 --     half(275) <1*sela> 	V308 - M275	=+33  %+11  	q=+33  %+11  	 1.782(75)
printNotes: i= 119-<1385 2145 -760>,  	 E2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(75)
printNotes: i= 120-<1778 1761  17>,  	 C2 --   1/16th( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(75)


silence
printNotes: i= 121-<   0   40 -40>,  	Slc --   2whole(1101) <-3*sela> 	V1036 - M963	=+73  %+7  	q=-65  %-6  	 6.008(75)
printNotes: i= 122-<1382 1417 -35>,  	Ak1 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(75)


silence
printNotes: i= 123-<   0   40 -40>,  	Slc --   1/16th( 34) <      > 	V 36 - M 34	= +2  %+6  	q= +2  %+6  	 0.203(75)
printNotes: i= 124-<1420 1417   3>,  	Ak1 --  1/32nd.( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(75)
printNotes: i= 125-<1271 1275  -4>,  	 G1 -- 1/32nd..( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(75)


silence
printNotes: i= 126-<   0   40 -40>,  	Slc --  1/16th.( 52) <      > 	V 52 - M 52	=  +  %+0  	q=  +  %+0  	 0.296(75)
printNotes: i= 127-<1386 1417 -31>,  	Ak1 --     half(275) <      > 	V274 - M275	= -1  %-0  	q= -1  %-0  	 1.585(75)
printNotes: i= 128-<1387 1417 -30>,  	Ak1 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(75)<-- same note
printNotes: i= 129-<1408 1417  -9>,  	Ak1 --    1/4th(138) <      > 	V138 - M138	=  +  %+0  	q=  +  %+0  	 0.795(75)<-- same note
printNotes: i= 130-<1426 1417   9>,  	Ak1 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(75)<-- same note
printNotes: i= 131-<1711 1761 -50>,  	 C2 --  1/32nd.( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(75)
printNotes: i= 132-<1294 1417 -123>,  	Ak1 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(75)


silence
printNotes: i= 133-<   0   40 -40>,  	Slc --   1/4th.(206) <-1*sela> 	V174 - M206	=-32  %-18  	q=-32  %-18  	 1.004(75)
printNotes: i= 134-<1114 1075  39>,  	 F1 --  1/32nd.( 26) <      > 	V 24 - M 26	= -2  %-8  	q= -2  %-8  	 0.134(75)
printNotes: i= 135-<1339 1417 -78>,  	Ak1 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(75)
printNotes: i= 136-<1081 1275 -194>,  	 G1 --   1/64th(  9) <      > 	V 11 - M  9	= +2  %+18  	q= +2  %+18  	 0.058(75)
printNotes: i= 137-<1322 1417 -95>,  	Ak1 -- 1/32nd..( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(75)
printNotes: i= 138-< 818 1275 -457>,  	 G1 -- 1/16th..( 60) <      > 	V 59 - M 60	= -1  %-2  	q= -1  %-2  	 0.337(75)
printNotes: i= 139-<1367 1417 -50>,  	Ak1 --    1/4th(138) <      > 	V138 - M138	=  +  %+0  	q=  +  %+0  	 0.795(75)
printNotes: i= 140-<1366 1275  91>,  	 G1 --  1/32nd.( 26) <      > 	V 24 - M 26	= -2  %-8  	q= -2  %-8  	 0.134(75)
printNotes: i= 141-<1674 1761 -87>,  	 C2 --   1/32nd( 17) <      > 	V 21 - M 17	= +4  %+19  	q= +4  %+19  	 0.116(75)
