	voice Midi Diff								present		 Best		Sec

printNotes: i= 162-<2732 2772 -40>,  	Bb2 -- 1/64th..( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(105)
printNotes: i= 163-<2502 2496   6>,  	 G2 --  1/8th..( 86) <      > 	V 85 - M 86	= -1  %-1  	q= -1  %-1  	 0.488(105)
printNotes: i= 164-<2730 2772 -42>,  	Bb2 --  1/64th.(  9) <      > 	V 10 - M  9	= +1  %+10  	q= +1  %+10  	 0.052(105)
printNotes: i= 165-<2507 2496  11>,  	 G2 --   1/8th.( 74) <      > 	V 73 - M 74	= -1  %-1  	q= -1  %-1  	 0.418(105)
printNotes: i= 166-<2705 2772 -67>,  	Bb2 -- 1/64th..( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(105)
printNotes: i= 167-<2508 2496  12>,  	 G2 --    1/8th( 49) <      > 	V 49 - M 49	=  +  %+0  	q=  +  %+0  	 0.279(105)
printNotes: i= 168-<2385 2389  -4>,  	F#2 --   1/32nd( 12) <      > 	V 15 - M 12	= +3  %+20  	q= +3  %+20  	 0.081(105)
printNotes: i= 169-<2628 2622   6>,  	Ak2 --     half(198) <      > 	V195 - M198	= -3  %-2  	q= -3  %-2  	 1.126(105)


silence
printNotes: i= 170-<   0   40 -40>,  	Slc --  1/64th.(  9) <      > 	V  7 - M 99	=-92  %-1314  	q= -2  %-29  	 0.035(105)<-----%1314   %29 <<

printNotes: i= 171-<2031 2015  16>,  	 D2 --   1/32nd( 12) <      > 	V 14 - M 12	= +2  %+14  	q= +2  %+14  	 0.075(105)
printNotes: i= 172-<2452 2496 -44>,  	 G2 --   1/16th( 25) <      > 	V 30 - M 25	= +5  %+17  	q= +5  %+17  	 0.168(105)
printNotes: i= 173-<2371 2389 -18>,  	F#2 --  1/32nd.( 19) <      > 	V 19 - M 19	=  +  %+0  	q=  +  %+0  	 0.104(105)
printNotes: i= 174-<2507 2496  11>,  	 G2 --    1/8th( 49) <      > 	V 48 - M 49	= -1  %-2  	q= -1  %-2  	 0.273(105)
printNotes: i= 175-<2625 2622   3>,  	Ak2 --   1/32nd( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(105)
