	voice Midi Diff								present		 Best		Sec

printNotes: i= 146-<2624 2642 -18>,  	Ak2 --    1/4th(112) <      > 	V112 - M112	=  +  %+0  	q=  +  %+0  	 0.644(92)
printNotes: i= 147-<2509 2494  15>,  	 G2 --    1/8th( 56) <      > 	V 69 - M 56	=+13  %+19  	q=+13  %+19  	 0.395(92)
printNotes: i= 148-<2506 2494  12>,  	 G2 --  1/32nd.( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(92)<-- same note
printNotes: i= 149-<2501 2494   7>,  	 G2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(92)<-- same note
printNotes: i= 150-<2502 2494   8>,  	 G2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(92)<-- same note
printNotes: i= 151-<2503 2494   9>,  	 G2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(92)<-- same note
printNotes: i= 152-<2266 2294 -28>,  	 F2 -- 1/32nd..( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(92)


silence
printNotes: i= 153-<   0   40 -40>,  	Slc --    1/8th( 56) <      > 	V 58 - M  7	=+51  %+88  	q= +2  %+3  	 0.331(92)<-----%88   %3

printNotes: i= 154-<2165 2181 -16>,  	 E2 --  1/64th.( 10) <      > 	V  8 - M 10	= -2  %-25  	q= -2  %-25  	 0.041(92)
printNotes: i= 155-<1221 2294 -1073>,  	 F2 --   1/16th( 28) <      > 	V 34 - M 28	= +6  %+18  	q= +6  %+18  	 0.192(92)
printNotes: i= 156-<1286 2494 -1208>,  	 G2 --   1/16th( 28) <      > 	V 31 - M 28	= +3  %+10  	q= +3  %+10  	 0.174(92)
printNotes: i= 157-<2317 2294  23>,  	 F2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(92)
printNotes: i= 158-<2469 2494 -25>,  	 G2 --  1/16th.( 42) <      > 	V 35 - M 42	= -7  %-20  	q= -7  %-20  	 0.197(92)
printNotes: i= 159-<2634 2642  -8>,  	Ak2 --    1/8th( 56) <      > 	V 67 - M 56	=+11  %+16  	q=+11  %+16  	 0.383(92)
printNotes: i= 160-<2844 2874 -30>,  	 B2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(92)
printNotes: i= 161-<2108 2974 -866>,  	 C3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(92)
printNotes: i= 162-<2537 2642 -105>,  	Ak2 -- 1/32nd..( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(92)
printNotes: i= 163-<2810 2874 -64>,  	 B2 --    128th(  3) <      > 	V  3 - M  3	=  +  %+0  	q=  +  %+0  	 0.012(92)
printNotes: i= 164-<2309 2642 -333>,  	Ak2 --  1/8th..( 98) <      > 	V 98 - M 98	=  +  %+0  	q=  +  %+0  	 0.563(92)


silence
printNotes: i= 165-<   0   40 -40>,  	Slc --   1/16th( 28) <      > 	V 32 - M117	=-85  %-266  	q= +4  %+12  	 0.180(92)<-----%266   %12

printNotes: i= 166-<2482 2494 -12>,  	 G2 --   1/16th( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(92)
printNotes: i= 167-<2640 2642  -2>,  	Ak2 --   1/16th( 28) <      > 	V 34 - M 28	= +6  %+18  	q= +6  %+18  	 0.192(92)
printNotes: i= 168-<2497 2494   3>,  	 G2 --    1/4th(112) <1*sela> 	V129 - M112	=+17  %+13  	q=+17  %+13  	 0.743(92)
printNotes: i= 169-<2266 2294 -28>,  	 F2 --    1/8th( 56) <      > 	V 69 - M 56	=+13  %+19  	q=+13  %+19  	 0.395(92)
printNotes: i= 170-<2114 2181 -67>,  	 E2 --   1/16th( 28) <      > 	V 33 - M 28	= +5  %+15  	q= +5  %+15  	 0.186(92)
printNotes: i= 171-<2458 2494 -36>,  	 G2 --    1/8th( 56) <      > 	V 63 - M 56	= +7  %+11  	q= +7  %+11  	 0.360(92)
printNotes: i= 172-<2640 2642  -2>,  	Ak2 --   1/4th.(168) <-2*sela> 	V140 - M112	=+28  %+20  	q=-28  %-20  	 0.807(92)
printNotes: i= 173-<2863 2874 -11>,  	 B2 --  1/16th.( 42) <      > 	V 37 - M 42	= -5  %-14  	q= -5  %-14  	 0.209(92)
printNotes: i= 174-<2649 2642   7>,  	Ak2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(92)
printNotes: i= 175-<2835 2874 -39>,  	 B2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(92)
