	voice Midi Diff								present		 Best		Sec

printNotes: i= 108-<2026 2031  -5>,  	 D2 -- 1/32nd..( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(84)
printNotes: i= 109-<1845 1818  27>,  	 C2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(84)
printNotes: i= 110-<2087 2168 -81>,  	Ek2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(84)
printNotes: i= 111-<2033 2031   2>,  	 D2 --    half.(369) <-2*sela> 	V334 - M369	=-35  %-10  	q=-35  %-10  	 1.933(84)


silence
printNotes: i= 112-<   0   40 -40>,  	Slc --    half.(369) <      > 	V367 - M369	= -2  %-1  	q= -2  %-1  	 2.125(84)
printNotes: i= 113-<2051 2031  20>,  	 D2 --   128th.(  6) <      > 	V  6 - M  8	= -2  %-33  	q=  +  %+0  	 0.029(84)<-----%33   %0 <<

printNotes: i= 114-<2133 2168 -35>,  	Ek2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(84)
printNotes: i= 115-<2065 2031  34>,  	 D2 --    128th(  4) <      > 	V  5 - M  6	= -1  %-20  	q= +1  %+20  	 0.023(84)
printNotes: i= 116-<2313 2314  -1>,  	 F2 --   1/4th.(185) <-1*sela> 	V161 - M185	=-24  %-15  	q=-24  %-15  	 0.929(84)
printNotes: i= 117-<2179 2168  11>,  	Ek2 --   1/8th.( 92) <      > 	V 92 - M 92	=  +  %+0  	q=  +  %+0  	 0.528(84)
printNotes: i= 118-<2019 2031 -12>,  	 D2 --    1/8th( 62) <      > 	V 74 - M 62	=+12  %+16  	q=+12  %+16  	 0.424(84)
printNotes: i= 119-< 573 1818 -1245>,  	 C2 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(84)
printNotes: i= 120-< 973 2314 -1341>,  	 F2 --    1/8th( 62) <      > 	V 59 - M 62	= -3  %-5  	q= -3  %-5  	 0.337(84)
printNotes: i= 121-<2183 2168  15>,  	Ek2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(84)
printNotes: i= 122-<2296 2314 -18>,  	 F2 --  1/32nd.( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(84)
printNotes: i= 123-<2302 2314 -12>,  	 F2 --    1/4th(123) <      > 	V121 - M123	= -2  %-2  	q= -2  %-2  	 0.697(84)<-- same note


silence
printNotes: i= 124-<   0   40 -40>,  	Slc --   1/4th.(185) <-1*sela> 	V169 - M190	=-21  %-12  	q=-16  %-9  	 0.975(84)
printNotes: i= 125-<1553 1316 237>,  	 G1 --  1/32nd.( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(84)
printNotes: i= 126-<2283 2314 -31>,  	 F2 --    1/4th(123) <1*sela> 	V151 - M123	=+28  %+19  	q=+28  %+19  	 0.871(84)
printNotes: i= 127-<2178 2168  10>,  	Ek2 --  1/16th.( 46) <      > 	V 39 - M 46	= -7  %-18  	q= -7  %-18  	 0.221(84)
printNotes: i= 128-<2316 2314   2>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 129-<2177 2168   9>,  	Ek2 --    1/8th( 62) <      > 	V 73 - M 62	=+11  %+15  	q=+11  %+15  	 0.418(84)
printNotes: i= 130-<2052 2031  21>,  	 D2 --    1/8th( 62) <      > 	V 62 - M 62	=  +  %+0  	q=  +  %+0  	 0.354(84)
printNotes: i= 131-<1445 1818 -373>,  	 C2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(84)
printNotes: i= 132-<2265 2314 -49>,  	 F2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(84)
printNotes: i= 133-<2168 2168    >,  	Ek2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(84)
printNotes: i= 134-<2309 2314  -5>,  	 F2 -- 1/32nd..( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(84)
printNotes: i= 135-<2472 2514 -42>,  	 G2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(84)
printNotes: i= 136-<2318 2314   4>,  	 F2 --  1/16th.( 46) <      > 	V 49 - M 46	= +3  %+6  	q= +3  %+6  	 0.279(84)
printNotes: i= 137-<2495 2514 -19>,  	 G2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(84)
printNotes: i= 138-<2328 2314  14>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 139-<2170 2168   2>,  	Ek2 --   1/16th( 31) <      > 	V 38 - M 46	= -8  %-21  	q= +7  %+18  	 0.215(84)
printNotes: i= 140-<2404 2414 -10>,  	F#2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(84)


silence
printNotes: i= 141-<  76   40  36>,  	Slc --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 142-<1993 2031 -38>,  	 D2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 143-<2193 2218 -25>,  	 E2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 144-<2048 2031  17>,  	 D2 --  1/16th.( 46) <      > 	V 44 - M 46	= -2  %-5  	q= -2  %-5  	 0.250(84)
printNotes: i= 145-<2180 2168  12>,  	Ek2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 146-<2037 2031   6>,  	 D2 -- 1/16th..( 54) <      > 	V 57 - M 54	= +3  %+5  	q= +3  %+5  	 0.325(84)
printNotes: i= 147-<2175 2168   7>,  	Ek2 --  1/8th..(108) <      > 	V114 - M108	= +6  %+5  	q= +6  %+5  	 0.656(84)
printNotes: i= 148-<2063 2031  32>,  	 D2 --    1/8th( 62) <      > 	V 58 - M 62	= -4  %-7  	q= -4  %-7  	 0.331(84)
printNotes: i= 149-<2451 2514 -63>,  	 G2 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(84)


silence
printNotes: i= 150-<   0   40 -40>,  	Slc --    whole(492) <2*sela> 	V522 - M492	=+30  %+6  	q=+30  %+6  	 3.024(84)
printNotes: i= 151-<1540 1316 224>,  	 G1 --   1/64th(  8) <      > 	V  8 - M 12	= -4  %-50  	q=  +  %+0  	 0.041(84)<-----%50   %0 <<

printNotes: i= 152-<2000 2031 -31>,  	 D2 --  1/16th.( 46) <      > 	V 45 - M 46	= -1  %-2  	q= -1  %-2  	 0.255(84)
printNotes: i= 153-<2318 2314   4>,  	 F2 --    128th(  4) <      > 	V  3 - M  4	= -1  %-33  	q= -1  %-33  	 0.012(84)


silence
printNotes: i= 154-<   0   40 -40>,  	Slc --  1/16th.( 46) <      > 	V 40 - M 46	= -6  %-15  	q= -6  %-15  	 0.226(84)
printNotes: i= 155-<2501 2514 -13>,  	 G2 --  1/16th.( 46) <      > 	V 45 - M 46	= -1  %-2  	q= -1  %-2  	 0.255(84)
printNotes: i= 156-<2312 2314  -2>,  	 F2 --   1/4th.(185) <      > 	V176 - M185	= -9  %-5  	q= -9  %-5  	 1.016(84)
printNotes: i= 157-<2508 2514  -6>,  	 G2 --    1/8th( 62) <      > 	V 73 - M 62	=+11  %+15  	q=+11  %+15  	 0.418(84)
printNotes: i= 158-<2331 2314  17>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 159-<2414 2514 -100>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(84)
printNotes: i= 160-<2175 2168   7>,  	Ek2 --    1/8th( 62) <      > 	V 71 - M 62	= +9  %+13  	q= +9  %+13  	 0.406(84)
printNotes: i= 161-<1574 2031 -457>,  	 D2 --  1/4th..(215) <      > 	V214 - M215	= -1  %-0  	q= -1  %-0  	 1.236(84)
printNotes: i= 162-<1776 2314 -538>,  	 F2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(84)
printNotes: i= 163-<2180 2168  12>,  	Ek2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(84)
printNotes: i= 164-<2056 2031  25>,  	 D2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(84)
printNotes: i= 165-<2309 2314  -5>,  	 F2 --    1/4th(123) <      > 	V133 - M123	=+10  %+8  	q=+10  %+8  	 0.766(84)


silence
printNotes: i= 166-<   0   40 -40>,  	Slc --   1/4th.(185) <      > 	V182 - M185	= -3  %-2  	q= -3  %-2  	 1.051(84)
printNotes: i= 167-<1034 1316 -282>,  	 G1 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(84)
printNotes: i= 168-<1505 2314 -809>,  	 F2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(84)
printNotes: i= 169-<1445 2168 -723>,  	Ek2 -- 1/16th..( 54) <      > 	V 54 - M 54	=  +  %+0  	q=  +  %+0  	 0.308(84)
printNotes: i= 170-<2313 2314  -1>,  	 F2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(84)
printNotes: i= 171-<2158 2168 -10>,  	Ek2 --    1/8th( 62) <      > 	V 67 - M 62	= +5  %+7  	q= +5  %+7  	 0.383(84)
