	voice Midi Diff								present		 Best		Sec

printNotes: i= 104-<2660 2701 -41>,  	Ak2 --   1/8th.( 87) <      > 	V 89 - M 87	= +2  %+2  	q= +2  %+2  	 0.511(89)
printNotes: i= 105-<2541 2533   8>,  	 G2 --    1/8th( 58) <      > 	V 57 - M 58	= -1  %-2  	q= -1  %-2  	 0.325(89)
printNotes: i= 106-<2916 3013 -97>,  	 C3 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(89)


silence
printNotes: i= 107-<   0   40 -40>,  	Slc --     half(232) <2*sela> 	V268 - M237	=+31  %+12  	q=+36  %+13  	 1.550(89)
printNotes: i= 108-<2041 2037   4>,  	 D2 --   128th.(  5) <      > 	V  5 - M  6	= -1  %-20  	q=  +  %+0  	 0.023(89)
printNotes: i= 109-<1522 2329 -807>,  	 F2 --  1/32nd.( 22) <      > 	V 23 - M 22	= +1  %+4  	q= +1  %+4  	 0.128(89)
printNotes: i= 110-< 962 2533 -1571>,  	 G2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(89)
printNotes: i= 111-<2367 2329  38>,  	 F2 --   1/64th(  7) <      > 	V  7 - M 11	= -4  %-57  	q=  +  %+0  	 0.035(89)<-----%57   %0 <<

printNotes: i= 112-<2542 2533   9>,  	 G2 --    1/8th( 58) <      > 	V 71 - M 58	=+13  %+18  	q=+13  %+18  	 0.406(89)
printNotes: i= 113-<1497 2804 -1307>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(89)
printNotes: i= 114-<2416 2533 -117>,  	 G2 --   1/4th.(174) <      > 	V174 - M174	=  +  %+0  	q=  +  %+0  	 1.004(89)
printNotes: i= 115-<2486 2533 -47>,  	 G2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)<-- same note
printNotes: i= 116-<2530 2533  -3>,  	 G2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(89)<-- same note
printNotes: i= 117-<2562 2533  29>,  	 G2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)<-- same note
printNotes: i= 118-<2946 3013 -67>,  	 C3 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(89)


silence
printNotes: i= 119-<   0   40 -40>,  	Slc --    1/4th(116) <      > 	V121 - M122	= -1  %-1  	q= +5  %+4  	 0.697(89)
printNotes: i= 120-< 907 1326 -419>,  	 G1 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(89)
printNotes: i= 121-<2229 2329 -100>,  	 F2 --  1/16th.( 43) <      > 	V 40 - M 43	= -3  %-8  	q= -3  %-8  	 0.226(89)
printNotes: i= 122-<1162 2533 -1371>,  	 G2 --  1/16th.( 43) <      > 	V 43 - M 43	=  +  %+0  	q=  +  %+0  	 0.244(89)
printNotes: i= 123-<2525 2533  -8>,  	 G2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)<-- same note
printNotes: i= 124-<2519 2533 -14>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)<-- same note
printNotes: i= 125-<2347 2329  18>,  	 F2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 126-<2518 2533 -15>,  	 G2 --    1/8th( 58) <      > 	V 55 - M 58	= -3  %-5  	q= -3  %-5  	 0.313(89)
printNotes: i= 127-<2137 2329 -192>,  	 F2 --    1/8th( 58) <      > 	V 59 - M 58	= +1  %+2  	q= +1  %+2  	 0.337(89)
printNotes: i= 128-<2376 2329  47>,  	 F2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(89)<-- same note
printNotes: i= 129-<2661 2701 -40>,  	Ak2 --   1/16th( 29) <      > 	V 33 - M 29	= +4  %+12  	q= +4  %+12  	 0.186(89)
printNotes: i= 130-<2541 2533   8>,  	 G2 --  1/16th.( 43) <      > 	V 36 - M 43	= -7  %-19  	q= -7  %-19  	 0.203(89)
printNotes: i= 131-<2683 2701 -18>,  	Ak2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)
printNotes: i= 132-< 979 2701 -1722>,  	Ak2 --  1/16th.( 43) <      > 	V 43 - M 43	=  +  %+0  	q=  +  %+0  	 0.244(89)<-- same note
printNotes: i= 133-<2633 2701 -68>,  	Ak2 -- 1/16th..( 51) <      > 	V 51 - M 51	=  +  %+0  	q=  +  %+0  	 0.290(89)<-- same note
printNotes: i= 134-<2540 2533   7>,  	 G2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(89)
printNotes: i= 135-<2771 2804 -33>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(89)
printNotes: i= 136-<2531 2533  -2>,  	 G2 --  1/16th.( 43) <      > 	V 40 - M 43	= -3  %-8  	q= -3  %-8  	 0.226(89)
printNotes: i= 137-<2719 2804 -85>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 138-<2543 2533  10>,  	 G2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(89)
printNotes: i= 139-<2314 2329 -15>,  	 F2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(89)
printNotes: i= 140-<2422 2429  -7>,  	F#2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(89)
printNotes: i= 141-<2356 2329  27>,  	 F2 -- 1/32nd..( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(89)
printNotes: i= 142-<2584 2633 -49>,  	Ab2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 143-<2329 2329    >,  	 F2 --  1/16th.( 43) <      > 	V 41 - M 43	= -2  %-5  	q= -2  %-5  	 0.232(89)
printNotes: i= 144-<2221 2183  38>,  	Ek2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 145-<2333 2329   4>,  	 F2 --    half.(348) <      > 	V360 - M348	=+12  %+3  	q=+12  %+3  	 2.084(89)
printNotes: i= 146-<2523 2533 -10>,  	 G2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(89)
printNotes: i= 147-<2650 2701 -51>,  	Ak2 --  1/64th.( 11) <      > 	V  8 - M  7	= +1  %+12  	q= -3  %-38  	 0.041(89)
printNotes: i= 148-<2552 2533  19>,  	 G2 -- 1/32nd..( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(89)
printNotes: i= 149-<2345 2329  16>,  	 F2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(89)
printNotes: i= 150-<2507 2533 -26>,  	 G2 -- 1/32nd..( 25) <      > 	V 26 - M 27	= -1  %-4  	q= +1  %+4  	 0.145(89)
printNotes: i= 151-<2699 2701  -2>,  	Ak2 --  1/32nd.( 22) <      > 	V 23 - M 22	= +1  %+4  	q= +1  %+4  	 0.128(89)
printNotes: i= 152-<2754 2804 -50>,  	Bb2 --  1/64th.( 11) <      > 	V  8 - M 11	= -3  %-38  	q= -3  %-38  	 0.041(89)
printNotes: i= 153-<2687 2701 -14>,  	Ak2 -- 1/32nd..( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(89)
printNotes: i= 154-<2532 2533  -1>,  	 G2 -- 1/32nd..( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(89)
printNotes: i= 155-<2357 2329  28>,  	 F2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(89)
printNotes: i= 156-<2138 2037 101>,  	 D2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(89)
printNotes: i= 157-<2330 2329   1>,  	 F2 --    1/4th(116) <      > 	V126 - M116	=+10  %+8  	q=+10  %+8  	 0.726(89)
printNotes: i= 158-<2488 2533 -45>,  	 G2 --   128th.(  5) <      > 	V  5 - M  4	= +1  %+20  	q=  +  %+0  	 0.023(89)


silence
printNotes: i= 159-<   0   40 -40>,  	Slc --     half(232) <2*sela> 	V262 - M237	=+25  %+10  	q=+30  %+11  	 1.515(89)
printNotes: i= 160-<1470 1126 344>,  	 F1 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(89)
printNotes: i= 161-<2293 2329 -36>,  	 F2 --  1/4th..(203) <      > 	V193 - M203	=-10  %-5  	q=-10  %-5  	 1.115(89)
printNotes: i= 162-<2530 2533  -3>,  	 G2 --  1/16th.( 43) <      > 	V 43 - M 43	=  +  %+0  	q=  +  %+0  	 0.244(89)
printNotes: i= 163-<2726 2729  -3>,  	 A2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(89)
printNotes: i= 164-<2525 2533  -8>,  	 G2 -- 1/32nd..( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(89)
printNotes: i= 165-<2322 2329  -7>,  	 F2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(89)
printNotes: i= 166-<2508 2533 -25>,  	 G2 -- 1/32nd..( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(89)
printNotes: i= 167-<2574 2633 -59>,  	Ab2 --    128th(  4) <      > 	V  2 - M  4	= -2  %-100  	q= -2  %-100  	 0.006(89)
printNotes: i= 168-<2514 2533 -19>,  	 G2 --  1/32nd.( 22) <      > 	V 18 - M 22	= -4  %-22  	q= -4  %-22  	 0.099(89)
printNotes: i= 169-<2698 2701  -3>,  	Ak2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(89)
printNotes: i= 170-<3029 3113 -84>,  	Db3 --  1/64th.( 11) <      > 	V  8 - M  7	= +1  %+12  	q= -3  %-38  	 0.041(89)
printNotes: i= 171-<2701 2701    >,  	Ak2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(89)
printNotes: i= 172-<2506 2533 -27>,  	 G2 -- 1/32nd..( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(89)
printNotes: i= 173-<2371 2329  42>,  	 F2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(89)
printNotes: i= 174-<2205 2183  22>,  	Ek2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(89)
printNotes: i= 175-<2335 2329   6>,  	 F2 --   1/4th.(174) <-1*sela> 	V155 - M174	=-19  %-12  	q=-19  %-12  	 0.894(89)
