	voice Midi Diff								present		 Best		Sec

printNotes: i= 127-< 949 1613 -664>,  	Bb1 --  1/32nd.( 25) <      > 	V 27 - M 25	= +2  %+7  	q= +2  %+7  	 0.151(77)
printNotes: i= 128-<1872 1932 -60>,  	Db2 --   1/16th( 34) <      > 	V 33 - M 34	= -1  %-3  	q= -1  %-3  	 0.186(77)
printNotes: i= 129-<1427 1613 -186>,  	Bb1 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(77)
printNotes: i= 130-<1846 1813  33>,  	 C2 -- 1/32nd..( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(77)
printNotes: i= 131-<2259 2316 -57>,  	 F2 --   1/16th( 34) <      > 	V 38 - M 34	= +4  %+11  	q= +4  %+11  	 0.215(77)
printNotes: i= 132-<2177 2166  11>,  	Ek2 --  1/16th.( 51) <      > 	V 46 - M 51	= -5  %-11  	q= -5  %-11  	 0.261(77)
printNotes: i= 133-<2312 2316  -4>,  	 F2 --  1/8th..(118) <      > 	V115 - M118	= -3  %-3  	q= -3  %-3  	 0.662(77)
printNotes: i= 134-<2167 2166   1>,  	Ek2 -- 1/16th..( 59) <      > 	V 57 - M 59	= -2  %-4  	q= -2  %-4  	 0.325(77)
printNotes: i= 135-<2033 2032   1>,  	 D2 --   1/16th( 34) <      > 	V 40 - M 34	= +6  %+15  	q= +6  %+15  	 0.226(77)
printNotes: i= 136-<2278 2316 -38>,  	 F2 --   1/16th( 34) <      > 	V 37 - M 34	= +3  %+8  	q= +3  %+8  	 0.209(77)
printNotes: i= 137-<2112 2132 -20>,  	Eb2 --  1/16th.( 51) <      > 	V 47 - M 51	= -4  %-9  	q= -4  %-9  	 0.267(77)
printNotes: i= 138-<2137 2532 -395>,  	 G2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 139-<2283 2316 -33>,  	 F2 --   1/16th( 34) <      > 	V 40 - M 34	= +6  %+15  	q= +6  %+15  	 0.226(77)
printNotes: i= 140-<2174 2166   8>,  	Ek2 -- 1/32nd..( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(77)
printNotes: i= 141-<2317 2316   1>,  	 F2 --    1/4th(135) <      > 	V150 - M135	=+15  %+10  	q=+15  %+10  	 0.865(77)
printNotes: i= 142-<2161 2166  -5>,  	Ek2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 143-<2286 2316 -30>,  	 F2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
printNotes: i= 144-<2159 2166  -7>,  	Ek2 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(77)
printNotes: i= 145-<2295 2316 -21>,  	 F2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
printNotes: i= 146-<2055 2032  23>,  	 D2 -- 1/32nd..( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(77)
printNotes: i= 147-<2185 2166  19>,  	Ek2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 148-<2045 2032  13>,  	 D2 --   1/16th( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(77)
printNotes: i= 149-<2211 2316 -105>,  	 F2 --  1/64th.( 13) <      > 	V 11 - M 13	= -2  %-18  	q= -2  %-18  	 0.058(77)
printNotes: i= 150-<1862 1813  49>,  	 C2 --   1/16th( 34) <      > 	V 33 - M 34	= -1  %-3  	q= -1  %-3  	 0.186(77)
printNotes: i= 151-<2037 2032   5>,  	 D2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i= 152-<1812 1813  -1>,  	 C2 --   1/16th( 34) <      > 	V 39 - M 34	= +5  %+13  	q= +5  %+13  	 0.221(77)
printNotes: i= 153-<2032 2032    >,  	 D2 --    1/4th(135) <      > 	V144 - M135	= +9  %+6  	q= +9  %+6  	 0.830(77)
printNotes: i= 154-<1876 1813  63>,  	 C2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
printNotes: i= 155-<2121 2166 -45>,  	Ek2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 156-<2036 2032   4>,  	 D2 --   1/16th( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(77)
printNotes: i= 157-<2039 2032   7>,  	 D2 --   1/4th.(203) <      > 	V203 - M203	=  +  %+0  	q=  +  %+0  	 1.173(77)<-- same note
printNotes: i= 158-<2370 2316  54>,  	 F2 -- 1/64th..( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(77)


silence
printNotes: i= 159-<   0   40 -40>,  	Slc --    whole(540) <5*sela> 	V633 - M540	=+93  %+15  	q=+93  %+15  	 3.669(77)
printNotes: i= 160-<1657 1513 144>,  	 A1 --    128th(  4) <      > 	V  5 - M  6	= -1  %-20  	q= +1  %+20  	 0.023(77)
printNotes: i= 161-<2051 2032  19>,  	 D2 --  1/16th.( 51) <      > 	V 44 - M 51	= -7  %-16  	q= -7  %-16  	 0.250(77)
printNotes: i= 162-<1826 1813  13>,  	 C2 --  1/16th.( 51) <      > 	V 44 - M 51	= -7  %-16  	q= -7  %-16  	 0.250(77)
printNotes: i= 163-<2024 2032  -8>,  	 D2 --     half(270) <      > 	V279 - M270	= +9  %+3  	q= +9  %+3  	 1.614(77)
printNotes: i= 164-<1232 1813 -581>,  	 C2 -- 1/16th..( 59) <      > 	V 57 - M 59	= -2  %-4  	q= -2  %-4  	 0.325(77)
printNotes: i= 165-<1437 2032 -595>,  	 D2 -- 1/16th..( 59) <      > 	V 55 - M 59	= -4  %-7  	q= -4  %-7  	 0.313(77)
printNotes: i= 166-<1922 1813 109>,  	 C2 --  1/64th.( 13) <      > 	V 11 - M 13	= -2  %-18  	q= -2  %-18  	 0.058(77)
printNotes: i= 167-<1616 2032 -416>,  	 D2 --   1/4th.(203) <-1*sela> 	V183 - M203	=-20  %-11  	q=-20  %-11  	 1.057(77)


silence
printNotes: i= 168-<   0   40 -40>,  	Slc --   1/16th( 34) <      > 	V 40 - M 34	= +6  %+15  	q= +6  %+15  	 0.226(77)
printNotes: i= 169-<2028 2032  -4>,  	 D2 --    1/8th( 68) <      > 	V 68 - M 68	=  +  %+0  	q=  +  %+0  	 0.389(77)
printNotes: i= 170-<2024 2032  -8>,  	 D2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)<-- same note
printNotes: i= 171-<2057 2032  25>,  	 D2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(77)<-- same note
printNotes: i= 172-<2123 2132  -9>,  	Eb2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(77)
printNotes: i= 173-<2022 2032 -10>,  	 D2 --    1/4th(135) <      > 	V150 - M135	=+15  %+10  	q=+15  %+10  	 0.865(77)
printNotes: i= 174-<2322 2316   6>,  	 F2 --   1/16th( 34) <      > 	V 36 - M 34	= +2  %+6  	q= +2  %+6  	 0.203(77)
printNotes: i= 175-<2203 2216 -13>,  	 E2 -- 1/32nd..( 30) <      > 	V 28 - M 25	= +3  %+11  	q= -2  %-7  	 0.157(77)<-----%11   %7



silence
