	voice Midi Diff								present		 Best		Sec

printNotes: i= 110-<1494 2312 -818>,  	 F2 --    1/8th( 57) <      > 	V 67 - M 57	=+10  %+15  	q=+10  %+15  	 0.383(90)
printNotes: i= 111-<2649 2663 -14>,  	Ak2 --   1/32nd( 14) <      > 	V 17 - M 22	= -5  %-29  	q= +3  %+18  	 0.093(90)<-----%29   %18

printNotes: i= 112-<2502 2515 -13>,  	 G2 --    1/4th(115) <      > 	V126 - M115	=+11  %+9  	q=+11  %+9  	 0.726(90)


silence
printNotes: i= 113-<   0   40 -40>,  	Slc --    1/4th(115) <1*sela> 	V132 - M115	=+17  %+13  	q=+17  %+13  	 0.760(90)
printNotes: i= 114-<1889 1609 280>,  	Bb1 -- 1/32nd..( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(90)
printNotes: i= 115-<1482 2663 -1181>,  	Ak2 --   1/16th( 29) <      > 	V 35 - M 43	= -8  %-23  	q= +6  %+17  	 0.197(90)<-----%23   %17

printNotes: i= 116-<1457 2515 -1058>,  	 G2 -- 1/16th..( 50) <      > 	V 47 - M 43	= +4  %+9  	q= -3  %-6  	 0.267(90)
printNotes: i= 117-<2645 2663 -18>,  	Ak2 --  1/32nd.( 22) <      > 	V 18 - M 22	= -4  %-22  	q= -4  %-22  	 0.099(90)
printNotes: i= 118-<2118 2515 -397>,  	 G2 --    1/4th(115) <1*sela> 	V132 - M115	=+17  %+13  	q=+17  %+13  	 0.760(90)
printNotes: i= 119-<2646 2663 -17>,  	Ak2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(90)
printNotes: i= 120-<2796 2815 -19>,  	Bb2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(90)
printNotes: i= 121-<2689 2663  26>,  	Ak2 --  1/32nd.( 22) <      > 	V 23 - M 22	= +1  %+4  	q= +1  %+4  	 0.128(90)
printNotes: i= 122-<2933 3015 -82>,  	 C3 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(90)
printNotes: i= 123-<1535 2663 -1128>,  	Ak2 --    1/8th( 57) <      > 	V 58 - M 57	= +1  %+2  	q= +1  %+2  	 0.331(90)
printNotes: i= 124-<2511 2515  -4>,  	 G2 --    1/4th(115) <      > 	V122 - M115	= +7  %+6  	q= +7  %+6  	 0.702(90)
printNotes: i= 125-<2658 2663  -5>,  	Ak2 --    1/4th(115) <1*sela> 	V129 - M115	=+14  %+11  	q=+14  %+11  	 0.743(90)
printNotes: i= 126-<2533 2515  18>,  	 G2 -- 1/16th..( 50) <      > 	V 48 - M 50	= -2  %-4  	q= -2  %-4  	 0.273(90)
printNotes: i= 127-<2567 2815 -248>,  	Bb2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(90)
printNotes: i= 128-<2547 2515  32>,  	 G2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(90)
printNotes: i= 129-<2674 2713 -39>,  	 A2 --  1/64th.( 11) <      > 	V  8 - M  7	= +1  %+12  	q= -3  %-38  	 0.041(90)


silence
printNotes: i= 130-<   0   40 -40>,  	Slc --    half.(344) <-1*sela> 	V322 - M413	=-91  %-28  	q=-22  %-7  	 1.863(90)<-----%28   %7

printNotes: i= 131-<1873 1709 164>,  	 B1 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(90)
printNotes: i= 132-<2349 2515 -166>,  	 G2 --   1/64th(  7) <      > 	V  9 - M  5	= +4  %+44  	q= +2  %+22  	 0.046(90)<-----%44   %22 <<



silence
printNotes: i= 133-<   0   40 -40>,  	Slc --  1/16th.( 43) <      > 	V 39 - M 43	= -4  %-10  	q= -4  %-10  	 0.221(90)
printNotes: i= 134-<2669 2663   6>,  	Ak2 --   1/8th.( 86) <      > 	V 75 - M 57	=+18  %+24  	q=-11  %-15  	 0.430(90)<-----%24   %15

printNotes: i= 135-<2529 2515  14>,  	 G2 --  1/8th..(100) <      > 	V 96 - M100	= -4  %-4  	q= -4  %-4  	 0.551(90)
printNotes: i= 136-<2340 2312  28>,  	 F2 --  1/8th..(100) <      > 	V 95 - M100	= -5  %-5  	q= -5  %-5  	 0.546(90)
printNotes: i= 137-<2645 2663 -18>,  	Ak2 --  1/64th.( 11) <      > 	V  8 - M 22	=-14  %-175  	q= -3  %-38  	 0.041(90)<-----%175   %38 <<

printNotes: i= 138-<1258 2515 -1257>,  	 G2 --   1/16th( 29) <      > 	V 34 - M 43	= -9  %-26  	q= +5  %+15  	 0.192(90)<-----%26   %15

printNotes: i= 139-<1754 2312 -558>,  	 F2 --    1/4th(115) <      > 	V111 - M100	=+11  %+10  	q= -4  %-4  	 0.639(90)<-----%10   %4

printNotes: i= 140-<2513 2515  -2>,  	 G2 --   1/8th.( 86) <      > 	V 86 - M 86	=  +  %+0  	q=  +  %+0  	 0.493(90)
printNotes: i= 141-<2664 2663   1>,  	Ak2 --  1/8th..(100) <      > 	V105 - M100	= +5  %+5  	q= +5  %+5  	 0.604(90)
printNotes: i= 142-<2521 2515   6>,  	 G2 --  1/16th.( 43) <      > 	V 45 - M 43	= +2  %+4  	q= +2  %+4  	 0.255(90)


silence
printNotes: i= 143-<   0   40 -40>,  	Slc --     half(229) <      > 	V229 - M235	= -6  %-3  	q=  +  %+0  	 1.324(90)
printNotes: i= 144-<2010 1809 201>,  	 C2 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(90)
