	voice Midi Diff								present		 Best		Sec

printNotes: i= 97-<3050 3018  32>,  	 C3 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(85)
printNotes: i= 98-<2830 2817  13>,  	Bb2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(85)
printNotes: i= 99-<2981 3018 -37>,  	 C3 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(85)
printNotes: i= 100-<2674 2817 -143>,  	Bb2 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(85)
printNotes: i= 101-<3102 3196 -94>,  	 D3 --  1/64th.( 11) <      > 	V  9 - M  8	= +1  %+11  	q= -2  %-22  	 0.046(85)
printNotes: i= 102-<2815 2817  -2>,  	Bb2 --  1/8th..(106) <      > 	V105 - M106	= -1  %-1  	q= -1  %-1  	 0.604(85)
printNotes: i= 103-<3016 3018  -2>,  	 C3 -- 1/16th..( 53) <      > 	V 52 - M 53	= -1  %-2  	q= -1  %-2  	 0.296(85)
printNotes: i= 104-<3291 3296  -5>,  	Eb3 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(85)
printNotes: i= 105-<3172 3196 -24>,  	 D3 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(85)
printNotes: i= 106-<2731 2661  70>,  	Ak2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(85)
printNotes: i= 107-<3002 3018 -16>,  	 C3 --  1/16th.( 46) <      > 	V 41 - M 46	= -5  %-12  	q= -5  %-12  	 0.232(85)
printNotes: i= 108-<2831 2817  14>,  	Bb2 --    1/4th(122) <      > 	V126 - M122	= +4  %+3  	q= +4  %+3  	 0.726(85)
printNotes: i= 109-<2685 2661  24>,  	Ak2 --  1/16th.( 46) <      > 	V 44 - M 46	= -2  %-5  	q= -2  %-5  	 0.250(85)
printNotes: i= 110-<2535 2537  -2>,  	 G2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(85)
printNotes: i= 111-<2689 2817 -128>,  	Bb2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(85)
printNotes: i= 112-<3021 3018   3>,  	 C3 --    128th(  4) <      > 	V  5 - M  7	= -2  %-40  	q= +1  %+20  	 0.023(85)<-----%40   %20 <<

printNotes: i= 113-<2819 2817   2>,  	Bb2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(85)
printNotes: i= 114-<2922 3018 -96>,  	 C3 --    128th(  4) <      > 	V  5 - M  6	= -1  %-20  	q= +1  %+20  	 0.023(85)
printNotes: i= 115-<2680 2661  19>,  	Ak2 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(85)
printNotes: i= 116-<2707 2817 -110>,  	Bb2 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(85)
printNotes: i= 117-<2636 3018 -382>,  	 C3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(85)
printNotes: i= 118-<2682 2661  21>,  	Ak2 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(85)
printNotes: i= 119-<2965 3018 -53>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(85)
printNotes: i= 120-<2664 2661   3>,  	Ak2 --  1/16th.( 46) <      > 	V 45 - M 46	= -1  %-2  	q= -1  %-2  	 0.255(85)
printNotes: i= 121-<2776 2817 -41>,  	Bb2 --    1/4th(122) <1*sela> 	V148 - M122	=+26  %+18  	q=+26  %+18  	 0.853(85)
printNotes: i= 122-<3027 3018   9>,  	 C3 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(85)
printNotes: i= 123-<3076 3196 -120>,  	 D3 --  1/64th.( 11) <      > 	V  9 - M 11	= -2  %-22  	q= -2  %-22  	 0.046(85)
printNotes: i= 124-<2648 2661 -13>,  	Ak2 -- 1/16th..( 53) <      > 	V 54 - M 53	= +1  %+2  	q= +1  %+2  	 0.308(85)
printNotes: i= 125-<2828 2817  11>,  	Bb2 --    1/4th(122) <      > 	V119 - M122	= -3  %-3  	q= -3  %-3  	 0.685(85)
printNotes: i= 126-<2985 3018 -33>,  	 C3 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(85)
