	voice Midi Diff								present		 Best		Sec

printNotes: i= 149-<2236 2265 -29>,  	 F2 --    half.(363) <-2*sela> 	V330 - M242	=+88  %+27  	q=-33  %-10  	 1.910(86)<-----%27   %10



silence
printNotes: i= 150-<   0   40 -40>,  	Slc --  1/4th..(212) <      > 	V225 - M242	=-17  %-8  	q=+13  %+6  	 1.300(86)
printNotes: i= 151-<1882 2265 -383>,  	 F2 --  1/16th.( 45) <      > 	V 41 - M 15	=+26  %+63  	q= -4  %-10  	 0.232(86)<-----%63   %10

printNotes: i= 152-<1983 2476 -493>,  	 G2 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(86)<-----%15   %0

printNotes: i= 153-<1145 2119 -974>,  	Ek2 -- 1/16th..( 53) <      > 	V 55 - M 30	=+25  %+45  	q= +2  %+4  	 0.313(86)<-----%45   %4

printNotes: i= 154-<2218 2265 -47>,  	 F2 --     half(242) <2*sela> 	V277 - M242	=+35  %+13  	q=+35  %+13  	 1.602(86)
printNotes: i= 155-<2271 2265   6>,  	 F2 --    1/4th(121) <      > 	V121 - M121	=  +  %+0  	q=  +  %+0  	 0.697(86)<-- same note
printNotes: i= 156-<2134 2119  15>,  	Ek2 --  1/32nd.( 23) <      > 	V 21 - M 30	= -9  %-43  	q= -2  %-10  	 0.116(86)<-----%43   %10

printNotes: i= 157-<2306 2265  41>,  	 F2 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(86)<-----%20   %4

printNotes: i= 158-<2463 2476 -13>,  	 G2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(86)<-----%275   %0 <<

printNotes: i= 159-<2608 2659 -51>,  	 A2 --    128th(  4) <      > 	V  1 - M 15	=-14  %-1400  	q= -3  %-300  	 0.000(86)<-----%1400   %300 <<

printNotes: i= 160-<1862 2476 -614>,  	 G2 --    1/8th( 60) <      > 	V 59 - M 30	=+29  %+49  	q= -1  %-2  	 0.337(86)<-----%49   %2

printNotes: i= 161-<2235 2265 -30>,  	 F2 -- 1/32nd..( 26) <      > 	V 27 - M 30	= -3  %-11  	q= +1  %+4  	 0.151(86)<-----%11   %4

printNotes: i= 162-<2118 2119  -1>,  	Ek2 --  1/32nd.( 23) <      > 	V 24 - M 30	= -6  %-25  	q= +1  %+4  	 0.134(86)<-----%25   %4

printNotes: i= 163-<1989 1998  -9>,  	 D2 --   1/32nd( 15) <      > 	V 17 - M 30	=-13  %-76  	q= +2  %+12  	 0.093(86)<-----%76   %12

