	voice Midi Diff								present		 Best		Sec

printNotes: i= 71-<2492 2470  22>,  	 G2 -- 1/16th..( 58) <      > 	V 57 - M 66	= -9  %-16  	q= -1  %-2  	 0.325(78)<-----%16   %2

printNotes: i= 72-<2288 2259  29>,  	 F2 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(78)
printNotes: i= 73-<2123 2114   9>,  	Ek2 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(78)
printNotes: i= 74-<2279 2259  20>,  	 F2 --   1/16th( 33) <      > 	V 39 - M 66	=-27  %-69  	q= +6  %+15  	 0.221(78)<-----%69   %15

printNotes: i= 75-<2110 2114  -4>,  	Ek2 -- 1/32nd..( 29) <      > 	V 30 - M 33	= -3  %-10  	q= +1  %+3  	 0.168(78)<-----%10   %3

printNotes: i= 76-<1969 1976  -7>,  	 D2 --   1/8th.(100) <      > 	V 97 - M100	= -3  %-3  	q= -3  %-3  	 0.557(78)
printNotes: i= 77-<2079 2114 -35>,  	Ek2 --    1/8th( 66) <      > 	V 78 - M 33	=+45  %+58  	q=+12  %+15  	 0.447(78)<-----%58   %15



silence
printNotes: i= 78-<   0   40 -40>,  	Slc --  1/16th.( 50) <      > 	V 46 - M100	=-54  %-117  	q= -4  %-9  	 0.261(78)<-----%117   %9

printNotes: i= 79-<2148 2259 -111>,  	 F2 --   1/8th.(100) <      > 	V 96 - M 66	=+30  %+31  	q= -4  %-4  	 0.551(78)<-----%31   %4

printNotes: i= 80-<1240 2114 -874>,  	Ek2 --    1/8th( 66) <      > 	V 67 - M 66	= +1  %+1  	q= +1  %+1  	 0.383(78)
printNotes: i= 81-<1866 2259 -393>,  	 F2 -- 1/32nd..( 29) <      > 	V 30 - M 12	=+18  %+60  	q= +1  %+3  	 0.168(78)<-----%60   %3

printNotes: i= 82-<2441 2470 -29>,  	 G2 --  1/32nd.( 25) <      > 	V 25 - M 24	= +1  %+4  	q=  +  %+0  	 0.139(78)
printNotes: i= 83-<2223 2259 -36>,  	 F2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(78)
printNotes: i= 84-<2455 2470 -15>,  	 G2 -- 1/64th..( 15) <      > 	V 15 - M 12	= +3  %+20  	q=  +  %+0  	 0.081(78)<-----%20   %0 <<

printNotes: i= 85-<2219 2259 -40>,  	 F2 --  1/32nd.( 25) <      > 	V 24 - M 24	=  +  %+0  	q= -1  %-4  	 0.134(78)
printNotes: i= 86-<2088 2114 -26>,  	Ek2 -- 1/64th..( 15) <      > 	V 16 - M 12	= +4  %+25  	q= +1  %+6  	 0.087(78)<-----%25   %6 <<

printNotes: i= 87-<2226 2259 -33>,  	 F2 --  128th..(  7) <      > 	V  7 - M 12	= -5  %-71  	q=  +  %+0  	 0.035(78)<-----%71   %0 <<

printNotes: i= 88-<2136 2114  22>,  	Ek2 --  1/32nd.( 25) <      > 	V 24 - M 24	=  +  %+0  	q= -1  %-4  	 0.134(78)
printNotes: i= 89-<2002 1976  26>,  	 D2 -- 1/64th..( 15) <      > 	V 13 - M 33	=-20  %-154  	q= -2  %-15  	 0.070(78)<-----%154   %15 <<

printNotes: i= 90-<2103 2114 -11>,  	Ek2 --  1/16th.( 50) <      > 	V 44 - M 33	=+11  %+25  	q= -6  %-14  	 0.250(78)<-----%25   %14

printNotes: i= 91-<2276 2259  17>,  	 F2 --    1/8th( 66) <      > 	V 78 - M 66	=+12  %+15  	q=+12  %+15  	 0.447(78)
printNotes: i= 92-<2122 2114   8>,  	Ek2 --  1/16th.( 50) <      > 	V 48 - M 33	=+15  %+31  	q= -2  %-4  	 0.273(78)<-----%31   %4

printNotes: i= 93-<2004 1976  28>,  	 D2 --   1/8th.(100) <      > 	V 87 - M100	=-13  %-15  	q=-13  %-15  	 0.499(78)
printNotes: i= 94-<2110 2114  -4>,  	Ek2 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(78)
printNotes: i= 95-<2253 2259  -6>,  	 F2 -- 1/32nd..( 29) <      > 	V 29 - M 33	= -4  %-14  	q=  +  %+0  	 0.163(78)<-----%14   %0

printNotes: i= 96-<2377 2470 -93>,  	 G2 --   1/8th.(100) <      > 	V 98 - M 66	=+32  %+33  	q= -2  %-2  	 0.563(78)<-----%33   %2



silence
printNotes: i= 97-<   0   40 -40>,  	Slc --   1/8th.(100) <      > 	V 88 - M133	=-45  %-51  	q=-12  %-14  	 0.505(78)<-----%51   %14

printNotes: i= 98-<2154 2470 -316>,  	 G2 --   1/8th.(100) <      > 	V 94 - M 66	=+28  %+30  	q= -6  %-6  	 0.540(78)<-----%30   %6

printNotes: i= 99-<1732 2259 -527>,  	 F2 --  1/8th..(116) <      > 	V115 - M 66	=+49  %+43  	q= -1  %-1  	 0.662(78)<-----%43   %1

printNotes: i= 100-<2537 2644 -107>,  	 A2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(78)
printNotes: i= 101-<2455 2470 -15>,  	 G2 --  1/16th.( 50) <      > 	V 43 - M 33	=+10  %+23  	q= -7  %-16  	 0.244(78)<-----%23   %16

printNotes: i= 102-<2257 2259  -2>,  	 F2 -- 1/64th..( 15) <      > 	V 14 - M 17	= -3  %-21  	q= -1  %-7  	 0.075(78)<-----%21   %7 <<

printNotes: i= 103-<2120 2470 -350>,  	 G2 -- 1/64th..( 15) <      > 	V 13 - M 17	= -4  %-31  	q= -2  %-15  	 0.070(78)<-----%31   %15 <<

printNotes: i= 104-<2250 2259  -9>,  	 F2 --  1/32nd.( 25) <      > 	V 23 - M 17	= +6  %+26  	q= -2  %-9  	 0.128(78)<-----%26   %9

printNotes: i= 105-<2135 2114  21>,  	Ek2 -- 1/64th..( 15) <      > 	V 13 - M 33	=-20  %-154  	q= -2  %-15  	 0.070(78)<-----%154   %15 <<

printNotes: i= 106-<1996 2259 -263>,  	 F2 -- 1/16th..( 58) <      > 	V 61 - M 66	= -5  %-8  	q= +3  %+5  	 0.348(78)<-----%8   %5

printNotes: i= 107-<2496 2470  26>,  	 G2 --    1/8th( 66) <      > 	V 64 - M 66	= -2  %-3  	q= -2  %-3  	 0.366(78)
printNotes: i= 108-<2291 2259  32>,  	 F2 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(78)
printNotes: i= 109-<2135 2114  21>,  	Ek2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(78)
printNotes: i= 110-<2358 2259  99>,  	 F2 --   1/32nd( 17) <      > 	V 18 - M 66	=-48  %-267  	q= +1  %+6  	 0.099(78)<-----%267   %6



silence
printNotes: i= 111-<   0   40 -40>,  	Slc --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(78)
printNotes: i= 112-<2085 2114 -29>,  	Ek2 --  1/32nd.( 25) <      > 	V 22 - M 33	=-11  %-50  	q= -3  %-14  	 0.122(78)<-----%50   %14

printNotes: i= 113-<1982 1976   6>,  	 D2 --   1/8th.(100) <      > 	V100 - M100	=  +  %+0  	q=  +  %+0  	 0.575(78)
printNotes: i= 114-<2079 2114 -35>,  	Ek2 --    1/8th( 66) <      > 	V 67 - M 33	=+34  %+51  	q= +1  %+1  	 0.383(78)<-----%51   %1



silence
printNotes: i= 115-<   0   40 -40>,  	Slc -- 1/16th..( 58) <      > 	V 56 - M100	=-44  %-79  	q= -2  %-4  	 0.319(78)<-----%79   %4

printNotes: i= 116-<2178 2259 -81>,  	 F2 --   1/8th.(100) <      > 	V 98 - M 66	=+32  %+33  	q= -2  %-2  	 0.563(78)<-----%33   %2

