	voice Midi Diff								present		 Best		Sec

printNotes: i= 127-<   0   40 -40>,  	Slc --  1/4th..(219) <      > 	V232 - M250	=-18  %-8  	q=+13  %+6  	 1.341(83)
printNotes: i= 128-< 852 1789 -937>,  	 C2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 129-<2157 2262 -105>,  	 F2 --   1/8th.( 94) <      > 	V 94 - M 94	=  +  %+0  	q=  +  %+0  	 0.540(83)
printNotes: i= 130-<2263 2262   1>,  	 F2 --  1/4th..(219) <      > 	V214 - M250	=-36  %-17  	q= -5  %-2  	 1.236(83)<-- same note<-----%17   %2

printNotes: i= 131-<2125 2126  -1>,  	Ek2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(83)
printNotes: i= 132-<1913 1989 -76>,  	 D2 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(83)
printNotes: i= 133-<1711 2262 -551>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 134-<1937 2126 -189>,  	Ek2 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(83)
printNotes: i= 135-<2451 2484 -33>,  	 G2 --  1/64th.( 12) <      > 	V 13 - M 31	=-18  %-138  	q= +1  %+8  	 0.070(83)<-----%138   %8 <<

printNotes: i= 136-<2277 2262  15>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 137-<2427 2484 -57>,  	 G2 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(83)<-----%24   %8



silence
printNotes: i= 138-< 140   40 100>,  	Slc --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 139-<2222 2262 -40>,  	 F2 --  1/16th.( 47) <      > 	V 41 - M 42	= -1  %-2  	q= -6  %-15  	 0.232(83)
printNotes: i= 140-<2122 2126  -4>,  	Ek2 --   1/16th( 31) <      > 	V 38 - M 42	= -4  %-11  	q= +7  %+18  	 0.215(83)
printNotes: i= 141-<2264 2262   2>,  	 F2 --  1/8th..(109) <      > 	V116 - M 73	=+43  %+37  	q= +7  %+6  	 0.668(83)<-----%37   %6

printNotes: i= 142-<2448 2484 -36>,  	 G2 --   1/64th(  8) <      > 	V 10 - M 31	=-21  %-210  	q= +2  %+20  	 0.052(83)<-----%210   %20 <<

printNotes: i= 143-<2287 2262  25>,  	 F2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i= 144-<2163 2126  37>,  	Ek2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-----%15   %0

printNotes: i= 145-<1977 1989 -12>,  	 D2 --   1/32nd( 16) <      > 	V 18 - M 31	=-13  %-72  	q= +2  %+11  	 0.099(83)<-----%72   %11

printNotes: i= 146-<2121 2126  -5>,  	Ek2 --   1/16th( 31) <      > 	V 31 - M 16	=+15  %+48  	q=  +  %+0  	 0.174(83)<-----%48   %0

printNotes: i= 147-<2270 2262   8>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
