	voice Midi Diff								present		 Best		Sec

printNotes: i= 89-<   0   40 -40>,  	Slc --   1/4th.(211) <-1*sela> 	V184 - M211	=-27  %-15  	q=-27  %-15  	 1.062(74)
printNotes: i= 90-<1673 1489 184>,  	 A1 --  1/32nd.( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(74)
printNotes: i= 91-<2244 2262 -18>,  	 F2 --     half(281) <      > 	V286 - M281	= +5  %+2  	q= +5  %+2  	 1.654(74)
printNotes: i= 92-<1979 1989 -10>,  	 D2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(74)
printNotes: i= 93-<2256 2262  -6>,  	 F2 --   1/64th(  9) <      > 	V 11 - M  9	= +2  %+18  	q= +2  %+18  	 0.058(74)
printNotes: i= 94-<2116 2126 -10>,  	Ek2 --  1/16th.( 53) <      > 	V 49 - M 53	= -4  %-8  	q= -4  %-8  	 0.279(74)
printNotes: i= 95-<1994 1989   5>,  	 D2 --  1/16th.( 53) <      > 	V 44 - M 53	= -9  %-20  	q= -9  %-20  	 0.250(74)
printNotes: i= 96-<2095 2126 -31>,  	Ek2 --   128th.(  7) <      > 	V  5 - M  4	= +1  %+20  	q= -2  %-40  	 0.023(74)
printNotes: i= 97-<2008 1989  19>,  	 D2 --    1/8th( 70) <      > 	V 77 - M 70	= +7  %+9  	q= +7  %+9  	 0.441(74)


silence
printNotes: i= 98-<   0   40 -40>,  	Slc --  1/64th.( 13) <      > 	V 12 - M  6	= +6  %+50  	q= -1  %-8  	 0.064(74)<-----%50   %8 <<

printNotes: i= 99-<1648 1589  59>,  	Bb1 --  1/32nd.( 26) <      > 	V 22 - M 18	= +4  %+18  	q= -4  %-18  	 0.122(74)
printNotes: i= 100-<2207 2262 -55>,  	 F2 --   1/16th( 35) <      > 	V 36 - M 35	= +1  %+3  	q= +1  %+3  	 0.203(74)
printNotes: i= 101-<2129 2126   3>,  	Ek2 --   1/16th( 35) <      > 	V 37 - M 35	= +2  %+5  	q= +2  %+5  	 0.209(74)
printNotes: i= 102-<2269 2262   7>,  	 F2 -- 1/16th..( 61) <      > 	V 57 - M 61	= -4  %-7  	q= -4  %-7  	 0.325(74)
printNotes: i= 103-<2128 2126   2>,  	Ek2 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(74)
printNotes: i= 104-<2194 2262 -68>,  	 F2 --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(74)
printNotes: i= 105-<1993 1989   4>,  	 D2 --   1/32nd( 18) <      > 	V 21 - M 18	= +3  %+14  	q= +3  %+14  	 0.116(74)
printNotes: i= 106-<2127 2126   1>,  	Ek2 --  1/32nd.( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(74)
printNotes: i= 107-<2284 2262  22>,  	 F2 --   128th.(  7) <      > 	V  6 - M  7	= -1  %-17  	q= -1  %-17  	 0.029(74)
printNotes: i= 108-<2141 2126  15>,  	Ek2 --   1/32nd( 18) <      > 	V 17 - M 18	= -1  %-6  	q= -1  %-6  	 0.093(74)
printNotes: i= 109-<2274 2262  12>,  	 F2 --  1/32nd.( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(74)
printNotes: i= 110-<2422 2484 -62>,  	 G2 --   128th.(  7) <      > 	V  6 - M  7	= -1  %-17  	q= -1  %-17  	 0.029(74)
printNotes: i= 111-<2294 2262  32>,  	 F2 --  1/32nd.( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(74)
printNotes: i= 112-<2137 2126  11>,  	Ek2 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(74)
printNotes: i= 113-<2315 2262  53>,  	 F2 -- 1/32nd..( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(74)
printNotes: i= 114-<1805 2484 -679>,  	 G2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(74)
printNotes: i= 115-<2150 2126  24>,  	Ek2 --  1/32nd.( 26) <      > 	V 28 - M 26	= +2  %+7  	q= +2  %+7  	 0.157(74)
printNotes: i= 116-<2444 2484 -40>,  	 G2 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(74)
printNotes: i= 117-<2132 2126   6>,  	Ek2 -- 1/32nd..( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(74)
printNotes: i= 118-<2384 2484 -100>,  	 G2 --  128th..(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(74)
printNotes: i= 119-<2252 2262 -10>,  	 F2 --   1/8th.(105) <      > 	V 92 - M105	=-13  %-14  	q=-13  %-14  	 0.528(74)
printNotes: i= 120-<2446 2484 -38>,  	 G2 -- 1/32nd..( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(74)
printNotes: i= 121-<2256 2262  -6>,  	 F2 --  1/8th..(123) <      > 	V130 - M140	=-10  %-8  	q= +7  %+5  	 0.749(74)
printNotes: i= 122-<2443 2484 -41>,  	 G2 -- 1/32nd..( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(74)
printNotes: i= 123-<2296 2262  34>,  	 F2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(74)
printNotes: i= 124-<2435 2484 -49>,  	 G2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(74)
printNotes: i= 125-<2106 2126 -20>,  	Ek2 --   1/16th( 35) <      > 	V 42 - M 35	= +7  %+17  	q= +7  %+17  	 0.238(74)
printNotes: i= 126-<1984 1989  -5>,  	 D2 --    1/8th( 70) <      > 	V 66 - M 70	= -4  %-6  	q= -4  %-6  	 0.377(74)
printNotes: i= 127-<2366 2484 -118>,  	 G2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(74)
printNotes: i= 128-<2281 2262  19>,  	 F2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(74)
printNotes: i= 129-<2347 2362 -15>,  	F#2 --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(74)
printNotes: i= 130-<2146 2126  20>,  	Ek2 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(74)
printNotes: i= 131-<2329 2362 -33>,  	F#2 --   128th.(  7) <      > 	V  6 - M  7	= -1  %-17  	q= -1  %-17  	 0.029(74)
printNotes: i= 132-<2267 2262   5>,  	 F2 --   1/32nd( 18) <      > 	V 20 - M 18	= +2  %+10  	q= +2  %+10  	 0.110(74)
printNotes: i= 133-<2339 2362 -23>,  	F#2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(74)
printNotes: i= 134-<2140 2126  14>,  	Ek2 --  1/32nd.( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(74)
printNotes: i= 135-<2330 2362 -32>,  	F#2 --   1/64th(  9) <      > 	V 11 - M  9	= +2  %+18  	q= +2  %+18  	 0.058(74)
printNotes: i= 136-<2130 2126   4>,  	Ek2 --   1/16th( 35) <      > 	V 36 - M 35	= +1  %+3  	q= +1  %+3  	 0.203(74)
printNotes: i= 137-<2304 2362 -58>,  	F#2 --  1/64th.( 13) <      > 	V 10 - M 13	= -3  %-30  	q= -3  %-30  	 0.052(74)
printNotes: i= 138-<2001 1989  12>,  	 D2 --   1/16th( 35) <      > 	V 40 - M 35	= +5  %+12  	q= +5  %+12  	 0.226(74)
printNotes: i= 139-<2222 2262 -40>,  	 F2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(74)
printNotes: i= 140-<1994 1989   5>,  	 D2 --    1/8th( 70) <      > 	V 73 - M 70	= +3  %+4  	q= +3  %+4  	 0.418(74)
printNotes: i= 141-<2154 2162  -8>,  	 E2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(74)
printNotes: i= 142-<2089 2076  13>,  	Eb2 --   1/16th( 35) <      > 	V 37 - M 35	= +2  %+5  	q= +2  %+5  	 0.209(74)
printNotes: i= 143-<2234 2262 -28>,  	 F2 --  1/32nd.( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(74)
printNotes: i= 144-<2099 2076  23>,  	Eb2 --   1/16th( 35) <      > 	V 37 - M 35	= +2  %+5  	q= +2  %+5  	 0.209(74)
printNotes: i= 145-<2273 2262  11>,  	 F2 --    1/4th(140) <      > 	V157 - M140	=+17  %+11  	q=+17  %+11  	 0.906(74)
printNotes: i= 146-<2133 2126   7>,  	Ek2 --   1/8th.(105) <      > 	V 95 - M105	=-10  %-11  	q=-10  %-11  	 0.546(74)
printNotes: i= 147-<1630 1989 -359>,  	 D2 --    1/8th( 70) <      > 	V 86 - M 70	=+16  %+19  	q=+16  %+19  	 0.493(74)


silence
printNotes: i= 148-<   0   40 -40>,  	Slc --  whole..(983) <3*sela> 	V1042 - M1138	=-96  %-9  	q=+59  %+6  	 6.043(74)<-----%9   %6

printNotes: i= 149-<1509 1489  20>,  	 A1 --  1/64th.( 13) <      > 	V 10 - M  9	= +1  %+10  	q= -3  %-30  	 0.052(74)
printNotes: i= 150-<1831 1789  42>,  	 C2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(74)
printNotes: i= 151-<2073 2262 -189>,  	 F2 --    1/4th(140) <1*sela> 	V166 - M140	=+26  %+16  	q=+26  %+16  	 0.958(74)
printNotes: i= 152-<2255 2262  -7>,  	 F2 --    1/4th(140) <      > 	V140 - M140	=  +  %+0  	q=  +  %+0  	 0.807(74)<-- same note
printNotes: i= 153-<1969 1789 180>,  	 C2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(74)
printNotes: i= 154-<2221 2262 -41>,  	 F2 --  1/16th.( 53) <      > 	V 53 - M 53	=  +  %+0  	q=  +  %+0  	 0.302(74)
printNotes: i= 155-<2288 2262  26>,  	 F2 --   1/32nd( 18) <      > 	V 16 - M 18	= -2  %-12  	q= -2  %-12  	 0.087(74)<-- same note
printNotes: i= 156-<1904 2126 -222>,  	Ek2 --   1/16th( 35) <      > 	V 39 - M 35	= +4  %+10  	q= +4  %+10  	 0.221(74)
printNotes: i= 157-<1717 1989 -272>,  	 D2 --  1/16th.( 53) <      > 	V 47 - M 53	= -6  %-13  	q= -6  %-13  	 0.267(74)
printNotes: i= 158-<2263 2262   1>,  	 F2 --    1/8th( 70) <      > 	V 70 - M 70	=  +  %+0  	q=  +  %+0  	 0.401(74)
printNotes: i= 159-<2139 2126  13>,  	Ek2 --  128th..(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(74)
