	voice Midi Diff								present		 Best		Sec

printNotes: i= 91-<1961 1998 -37>,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 92-<2114 2119  -5>,  	Ek2 --    1/8th( 62) <      > 	V 76 - M 62	=+14  %+18  	q=+14  %+18  	 0.435(83)
printNotes: i= 93-<2055 1998  57>,  	 D2 --  1/16th.( 47) <      > 	V 48 - M 47	= +1  %+2  	q= +1  %+2  	 0.273(83)


silence
printNotes: i= 94-<   0   40 -40>,  	Slc --    1/4th(125) <      > 	V128 - M132	= -4  %-3  	q= +3  %+2  	 0.737(83)
printNotes: i= 95-<1534 1498  36>,  	 A1 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(83)
printNotes: i= 96-<1999 1998   1>,  	 D2 --  1/4th..(218) <      > 	V218 - M218	=  +  %+0  	q=  +  %+0  	 1.260(83)
printNotes: i= 97-<2217 2265 -48>,  	 F2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(83)
printNotes: i= 98-<2115 2119  -4>,  	Ek2 --   1/8th.( 94) <-1*sela> 	V 78 - M 94	=-16  %-21  	q=-16  %-21  	 0.447(83)
printNotes: i= 99-<2013 1998  15>,  	 D2 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(83)
printNotes: i= 100-<2255 2265 -10>,  	 F2 --    1/4th(125) <      > 	V123 - M125	= -2  %-2  	q= -2  %-2  	 0.708(83)
printNotes: i= 101-<2451 2476 -25>,  	 G2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(83)
printNotes: i= 102-<2275 2265  10>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(83)
printNotes: i= 103-<2439 2476 -37>,  	 G2 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(83)
printNotes: i= 104-<2632 2659 -27>,  	 A2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(83)
printNotes: i= 105-<2507 2476  31>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 106-<1655 2659 -1004>,  	 A2 --  1/16th.( 47) <      > 	V 42 - M 47	= -5  %-12  	q= -5  %-12  	 0.238(83)
printNotes: i= 107-<2485 2476   9>,  	 G2 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(83)
printNotes: i= 108-<2261 2265  -4>,  	 F2 --     half(249) <1*sela> 	V279 - M249	=+30  %+11  	q=+30  %+11  	 1.614(83)
printNotes: i= 109-<2074 2729 -655>,  	Bb2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(83)
printNotes: i= 110-<2135 2265 -130>,  	 F2 -- 1/32nd..( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(83)


silence
printNotes: i= 111-<   0   40 -40>,  	Slc --  whole..(873) <      > 	V878 - M878	=  +  %+0  	q= +5  %+1  	 5.091(83)
printNotes: i= 112-<1901 1998 -97>,  	 D2 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(83)
printNotes: i= 113-<1326 2119 -793>,  	Ek2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(83)
printNotes: i= 114-<1598 1998 -400>,  	 D2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(83)
printNotes: i= 115-<2886 2946 -60>,  	 C3 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
